Draw,Date,Pick3,Pick4,Date_Delta
0,2012-02-05,779,6623,765.0
1,2012-02-05,86,4141,765.0
1,2012-02-05,86,4141,765.0
0,2012-02-05,779,6623,765.0
0,2012-02-06,930,8012,766.0
1,2012-02-06,733,9824,766.0
0,2012-02-06,930,8012,766.0
1,2012-02-06,733,9824,766.0
0,2012-02-07,460,7602,767.0
1,2012-02-07,487,7499,767.0
0,2012-02-07,460,7602,767.0
1,2012-02-07,487,7499,767.0
1,2012-02-08,451,6434,768.0
0,2012-02-08,294,3827,768.0
0,2012-02-08,294,3827,768.0
1,2012-02-08,451,6434,768.0
0,2012-02-09,540,1726,769.0
1,2012-02-09,865,9923,769.0
0,2012-02-09,540,1726,769.0
1,2012-02-09,865,9923,769.0
0,2012-02-10,375,436,770.0
0,2012-02-10,375,436,770.0
1,2012-02-10,720,2237,770.0
1,2012-02-10,720,2237,770.0
1,2012-02-11,740,1940,771.0
0,2012-02-11,553,2949,771.0
1,2012-02-11,740,1940,771.0
0,2012-02-11,553,2949,771.0
1,2012-02-12,410,6231,772.0
0,2012-02-12,202,1092,772.0
0,2012-02-12,202,1092,772.0
1,2012-02-12,410,6231,772.0
0,2012-02-13,510,1936,773.0
1,2012-02-13,404,5080,773.0
0,2012-02-13,510,1936,773.0
1,2012-02-13,404,5080,773.0
1,2012-02-14,326,7771,774.0
0,2012-02-14,690,1801,774.0
1,2012-02-14,326,7771,774.0
0,2012-02-14,690,1801,774.0
0,2012-02-15,219,8386,775.0
1,2012-02-15,442,1502,775.0
1,2012-02-15,442,1502,775.0
0,2012-02-15,219,8386,775.0
1,2012-02-16,718,1290,776.0
0,2012-02-16,826,8320,776.0
1,2012-02-16,718,1290,776.0
0,2012-02-16,826,8320,776.0
0,2012-02-17,928,6411,777.0
0,2012-02-17,928,6411,777.0
1,2012-02-17,769,4279,777.0
1,2012-02-17,769,4279,777.0
0,2012-02-18,251,9591,778.0
1,2012-02-18,920,9873,778.0
1,2012-02-18,920,9873,778.0
0,2012-02-18,251,9591,778.0
1,2012-02-19,172,863,779.0
0,2012-02-19,628,4980,779.0
0,2012-02-19,628,4980,779.0
1,2012-02-19,172,863,779.0
1,2012-02-20,272,3915,780.0
0,2012-02-20,653,1442,780.0
0,2012-02-20,653,1442,780.0
1,2012-02-20,272,3915,780.0
0,2012-02-21,255,2206,781.0
1,2012-02-21,511,1272,781.0
