Draw,Date,Pick3,Pick4
0,2013-01-01,473,686
1,2013-01-01,639,8213
0,2013-01-02,875,9055
1,2013-01-02,340,3113
0,2013-01-03,603,4290
1,2013-01-03,672,6160
0,2013-01-04,421,6861
1,2013-01-04,532,5268
0,2013-01-05,903,3516
1,2013-01-05,218,3379
0,2013-01-06,228,5886
1,2013-01-06,919,2841
0,2013-01-07,548,8615
1,2013-01-07,823,9488
0,2013-01-08,766,3943
1,2013-01-08,499,1977
0,2013-01-09,466,8101
1,2013-01-09,176,9393
0,2013-01-10,187,6928
1,2013-01-10,960,4906
0,2013-01-11,780,7446
1,2013-01-11,749,2000
0,2013-01-12,630,1094
1,2013-01-12,287,3999
0,2013-01-13,406,7391
1,2013-01-13,214,1063
0,2013-01-14,306,143
1,2013-01-14,170,1164
0,2013-01-15,442,2940
1,2013-01-15,766,9878
0,2013-01-16,695,5559
1,2013-01-16,819,4559
0,2013-01-17,920,9821
1,2013-01-17,668,5395
0,2013-01-18,749,5890
1,2013-01-18,217,1606
0,2013-01-19,38,1127
1,2013-01-19,113,8749
0,2013-01-20,828,3258
1,2013-01-20,371,2465
0,2013-01-21,90,2452
1,2013-01-21,186,3457
0,2013-01-22,592,7506
1,2013-01-22,702,3785
0,2013-01-23,280,4752
1,2013-01-23,944,9682
0,2013-01-24,619,9362
1,2013-01-24,894,8562
0,2013-01-25,515,3908
1,2013-01-25,546,1100
0,2013-01-26,853,8838
1,2013-01-26,610,6322
0,2013-01-27,565,7164
1,2013-01-27,304,4219
0,2013-01-28,969,3383
1,2013-01-28,356,3209
0,2013-01-29,309,8844
1,2013-01-29,783,1750
0,2013-01-30,948,9338
1,2013-01-30,675,1566
0,2013-01-31,285,6430
1,2013-01-31,528,6397
0,2013-02-01,283,5864
1,2013-02-01,148,5636
0,2013-02-02,964,9649
1,2013-02-02,558,921
0,2013-02-03,787,3018
1,2013-02-03,693,8090
0,2013-02-04,366,8732
1,2013-02-04,414,6355
0,2013-02-05,474,2641
1,2013-02-05,485,5572
0,2013-02-06,539,9177
1,2013-02-06,928,7791
0,2013-02-07,530,9239
1,2013-02-07,102,4882
0,2013-02-08,349,9433
1,2013-02-08,669,1989
0,2013-02-09,335,2637
1,2013-02-09,410,8655
0,2013-02-10,813,1646
1,2013-02-10,14,4814
0,2013-02-11,795,5152
1,2013-02-11,308,1752
0,2013-02-12,690,1639
1,2013-02-12,593,3438
0,2013-02-13,492,2960
1,2013-02-13,244,167
0,2013-02-14,131,3866
1,2013-02-14,166,6090
0,2013-02-15,875,3561
1,2013-02-15,268,2277
0,2013-02-16,45,4768
1,2013-02-16,266,8
0,2013-02-17,236,1662
1,2013-02-17,791,8148
0,2013-02-18,919,72
1,2013-02-18,676,9023
0,2013-02-19,160,6887
1,2013-02-19,275,3832
0,2013-02-20,177,7902
1,2013-02-20,578,5243
0,2013-02-21,190,2123
1,2013-02-21,360,9699
0,2013-02-22,588,1144
1,2013-02-22,977,1206
0,2013-02-23,799,8513
1,2013-02-23,347,7572
0,2013-02-24,863,4784
1,2013-02-24,831,9260
0,2013-02-25,993,7758
1,2013-02-25,233,1631
0,2013-02-26,267,3728
1,2013-02-26,971,8810
0,2013-02-27,829,140
1,2013-02-27,676,2902
0,2013-02-28,174,7936
1,2013-02-28,54,7769
0,2013-03-01,609,2040
1,2013-03-01,413,5137
0,2013-03-02,786,4236
1,2013-03-02,51,6249
0,2013-03-03,597,1821
1,2013-03-03,998,3493
0,2013-03-04,717,6615
1,2013-03-04,704,6722
0,2013-03-05,55,4304
1,2013-03-05,247,6724
0,2013-03-06,832,5514
1,2013-03-06,805,7034
0,2013-03-07,714,1298
1,2013-03-07,373,5578
0,2013-03-08,207,3895
1,2013-03-08,464,2424
0,2013-03-09,526,2564
1,2013-03-09,150,8168
0,2013-03-10,818,3865
1,2013-03-10,344,1897
0,2013-03-11,902,8392
1,2013-03-11,736,1282
0,2013-03-12,421,4348
1,2013-03-12,135,1949
0,2013-03-13,79,4886
1,2013-03-13,286,314
0,2013-03-14,289,5615
1,2013-03-14,919,7539
0,2013-03-15,621,7950
1,2013-03-15,30,5806
0,2013-03-16,402,1453
1,2013-03-16,922,8106
0,2013-03-17,64,8344
1,2013-03-17,618,425
0,2013-03-18,541,3831
1,2013-03-18,722,6596
0,2013-03-19,166,3793
1,2013-03-19,656,1466
0,2013-03-20,711,3742
1,2013-03-20,228,3764
0,2013-03-21,388,2194
1,2013-03-21,127,7747
0,2013-03-22,20,3733
1,2013-03-22,659,167
0,2013-03-23,221,765
1,2013-03-23,905,6049
0,2013-03-24,740,5709
1,2013-03-24,815,3612
0,2013-03-25,271,7504
1,2013-03-25,524,5732
0,2013-03-26,247,887
1,2013-03-26,900,3832
0,2013-03-27,300,2532
1,2013-03-27,562,5966
0,2013-03-28,33,9321
1,2013-03-28,682,9580
0,2013-03-29,919,3673
1,2013-03-29,557,9402
0,2013-03-30,735,1149
1,2013-03-30,594,2919
0,2013-03-31,309,1392
1,2013-03-31,756,4021
0,2013-04-01,506,8488
1,2013-04-01,897,4230
0,2013-04-02,775,830
1,2013-04-02,917,8588
0,2013-04-03,312,9675
1,2013-04-03,312,9141
0,2013-04-04,972,2944
1,2013-04-04,372,1998
0,2013-04-05,224,7042
1,2013-04-05,405,1226
0,2013-04-06,285,7929
1,2013-04-06,114,7885
0,2013-04-07,223,6425
1,2013-04-07,963,7848
0,2013-04-08,253,6198
1,2013-04-08,311,9096
0,2013-04-09,132,7570
1,2013-04-09,484,5395
0,2013-04-10,782,8723
1,2013-04-10,855,2602
0,2013-04-11,450,7110
1,2013-04-11,831,4729
0,2013-04-12,789,8610
1,2013-04-12,620,3246
0,2013-04-13,479,1788
1,2013-04-13,453,2454
0,2013-04-14,289,8003
1,2013-04-14,87,2426
0,2013-04-15,219,7719
1,2013-04-15,863,462
0,2013-04-16,533,5105
1,2013-04-16,928,4465
0,2013-04-17,124,7475
1,2013-04-17,573,6188
0,2013-04-18,733,986
1,2013-04-18,599,1347
0,2013-04-19,224,9222
1,2013-04-19,147,2266
0,2013-04-20,513,3982
1,2013-04-20,274,5581
0,2013-04-21,374,8283
1,2013-04-21,926,6725
0,2013-04-22,895,441
1,2013-04-22,24,7583
0,2013-04-23,716,5178
1,2013-04-23,349,9656
0,2013-04-24,415,4856
1,2013-04-24,737,9642
0,2013-04-25,561,2472
1,2013-04-25,326,157
0,2013-04-26,258,850
1,2013-04-26,18,6022
0,2013-04-27,339,6202
1,2013-04-27,391,117
0,2013-04-28,814,2467
1,2013-04-28,686,1501
0,2013-04-29,968,4542
1,2013-04-29,167,1096
0,2013-04-30,52,7494
1,2013-04-30,788,325
0,2013-05-01,981,8027
1,2013-05-01,389,3646
0,2013-05-02,218,3484
1,2013-05-02,171,2910
0,2013-05-03,347,9579
1,2013-05-03,208,6560
