Draw,Date,Pick3,Pick4
0,2017-01-01,657,325
1,2017-01-01,611,9144
0,2017-01-02,615,27
1,2017-01-02,539,6615
0,2017-01-03,907,1631
1,2017-01-03,844,467
0,2017-01-04,348,7615
1,2017-01-04,107,9675
0,2017-01-05,431,2516
1,2017-01-05,916,7485
0,2017-01-06,317,1940
1,2017-01-06,861,7003
0,2017-01-07,414,1131
1,2017-01-07,886,5623
0,2017-01-08,767,3230
1,2017-01-08,958,7774
0,2017-01-09,952,2905
1,2017-01-09,674,3141
0,2017-01-10,616,7358
1,2017-01-10,867,3112
0,2017-01-11,164,6086
1,2017-01-11,834,297
0,2017-01-12,782,1692
1,2017-01-12,487,9174
0,2017-01-13,643,5339
1,2017-01-13,556,6277
0,2017-01-14,577,833
1,2017-01-14,312,6026
0,2017-01-15,858,929
1,2017-01-15,30,8397
0,2017-01-16,402,5365
1,2017-01-16,855,4355
0,2017-01-17,385,847
1,2017-01-17,984,2149
0,2017-01-18,273,4047
1,2017-01-18,689,9802
0,2017-01-19,356,4371
1,2017-01-19,572,5434
0,2017-01-20,571,1379
1,2017-01-20,265,1569
0,2017-01-21,649,1560
1,2017-01-21,707,2992
0,2017-01-22,713,7382
1,2017-01-22,247,9216
0,2017-01-23,248,3684
1,2017-01-23,944,7773
0,2017-01-24,445,4273
1,2017-01-24,272,5259
0,2017-01-25,654,307
1,2017-01-25,77,1066
0,2017-01-26,841,9127
1,2017-01-26,7,8979
0,2017-01-27,181,9510
1,2017-01-27,283,6383
0,2017-01-28,847,5988
1,2017-01-28,159,5925
0,2017-01-29,415,5443
1,2017-01-29,645,953
0,2017-01-30,72,7954
1,2017-01-30,200,2028
0,2017-01-31,145,6847
1,2017-01-31,777,3142
0,2017-02-01,758,7597
1,2017-02-01,792,2948
0,2017-02-02,731,6709
1,2017-02-02,323,4916
0,2017-02-03,245,8865
1,2017-02-03,31,5511
0,2017-02-04,77,794
1,2017-02-04,673,9266
0,2017-02-05,922,8446
1,2017-02-05,172,7808
0,2017-02-06,338,7269
1,2017-02-06,250,3345
0,2017-02-07,630,1361
1,2017-02-07,727,2385
0,2017-02-08,56,9724
1,2017-02-08,755,9012
0,2017-02-09,692,5533
1,2017-02-09,630,1452
0,2017-02-10,718,2255
1,2017-02-10,797,8302
0,2017-02-11,751,8961
1,2017-02-11,206,489
0,2017-02-12,923,9167
1,2017-02-12,782,3193
0,2017-02-13,778,2145
1,2017-02-13,602,8713
0,2017-02-14,668,3668
1,2017-02-14,601,8685
0,2017-02-15,553,1573
1,2017-02-15,297,9794
0,2017-02-16,545,1255
1,2017-02-16,214,1223
0,2017-02-17,200,7621
1,2017-02-17,805,4213
0,2017-02-18,20,4543
1,2017-02-18,613,4241
0,2017-02-19,730,906
1,2017-02-19,836,1161
0,2017-02-20,662,1444
1,2017-02-20,134,8564
0,2017-02-21,562,5563
1,2017-02-21,366,7253
0,2017-02-22,608,5043
1,2017-02-22,81,7977
0,2017-02-23,776,3510
1,2017-02-23,583,4995
0,2017-02-24,150,5206
1,2017-02-24,312,2409
0,2017-02-25,98,3408
1,2017-02-25,823,8496
0,2017-02-26,807,5260
1,2017-02-26,555,4842
0,2017-02-27,619,204
1,2017-02-27,269,5436
0,2017-02-28,505,2610
1,2017-02-28,538,9710
0,2017-03-01,484,4908
1,2017-03-01,163,8804
0,2017-03-02,566,6053
1,2017-03-02,326,814
0,2017-03-03,451,1884
1,2017-03-03,887,1932
0,2017-03-04,508,1332
1,2017-03-04,796,7684
0,2017-03-05,985,29
1,2017-03-05,885,2919
0,2017-03-06,908,6702
1,2017-03-06,515,5422
0,2017-03-07,489,8096
1,2017-03-07,724,39
0,2017-03-08,685,6793
1,2017-03-08,94,3196
0,2017-03-09,894,5832
1,2017-03-09,496,8882
0,2017-03-10,540,2467
1,2017-03-10,413,4881
0,2017-03-11,525,8873
1,2017-03-11,225,1938
0,2017-03-12,887,9977
1,2017-03-12,357,1650
0,2017-03-13,121,3292
1,2017-03-13,35,3370
0,2017-03-14,832,4146
1,2017-03-14,364,4180
0,2017-03-15,563,363
1,2017-03-15,245,8187
0,2017-03-16,497,8073
1,2017-03-16,287,8531
0,2017-03-17,516,7177
1,2017-03-17,21,5226
0,2017-03-18,929,8118
1,2017-03-18,976,5787
0,2017-03-19,381,3856
1,2017-03-19,104,5640
0,2017-03-20,594,6709
1,2017-03-20,19,9571
0,2017-03-21,297,1703
1,2017-03-21,820,6758
0,2017-03-22,450,4082
1,2017-03-22,755,9289
0,2017-03-23,234,32
1,2017-03-23,236,3443
0,2017-03-24,660,67
1,2017-03-24,851,4368
0,2017-03-25,788,4194
1,2017-03-25,198,4710
0,2017-03-26,500,5957
1,2017-03-26,465,3110
0,2017-03-27,71,258
1,2017-03-27,15,2673
0,2017-03-28,672,5934
1,2017-03-28,9,2582
0,2017-03-29,452,3505
1,2017-03-29,821,7637
0,2017-03-30,203,9199
1,2017-03-30,987,882
0,2017-03-31,476,6072
1,2017-03-31,729,8086
0,2017-04-01,96,5389
1,2017-04-01,103,9717
0,2017-04-02,51,6843
1,2017-04-02,557,5000
0,2017-04-03,119,2539
1,2017-04-03,488,1108
0,2017-04-04,332,3633
1,2017-04-04,64,3394
0,2017-04-05,865,1440
1,2017-04-05,578,255
0,2017-04-06,169,9626
1,2017-04-06,112,8865
0,2017-04-07,36,871
1,2017-04-07,649,786
0,2017-04-08,396,3545
1,2017-04-08,692,485
0,2017-04-09,128,4362
1,2017-04-09,908,7387
0,2017-04-10,584,3455
1,2017-04-10,693,3022
0,2017-04-11,828,8886
1,2017-04-11,534,1268
0,2017-04-12,906,7144
1,2017-04-12,750,5129
0,2017-04-13,117,5224
1,2017-04-13,415,7755
0,2017-04-14,893,4497
1,2017-04-14,2,7287
0,2017-04-15,54,9757
1,2017-04-15,823,202
0,2017-04-16,246,8558
1,2017-04-16,679,8160
0,2017-04-17,650,1444
1,2017-04-17,948,4095
0,2017-04-18,725,840
1,2017-04-18,148,1021
0,2017-04-19,856,904
1,2017-04-19,940,7021
0,2017-04-20,975,6220
1,2017-04-20,767,6306
0,2017-04-21,789,1357
1,2017-04-21,363,7555
0,2017-04-22,640,4657
1,2017-04-22,296,5647
0,2017-04-23,637,3301
1,2017-04-23,53,338
0,2017-04-24,36,5653
1,2017-04-24,200,5828
0,2017-04-25,692,9611
1,2017-04-25,513,922
0,2017-04-26,262,3980
1,2017-04-26,621,8899
0,2017-04-27,604,2544
1,2017-04-27,527,606
0,2017-04-28,262,9576
1,2017-04-28,118,8566
0,2017-04-29,795,2698
1,2017-04-29,601,2368
0,2017-04-30,373,1153
1,2017-04-30,491,4781
0,2017-05-01,660,6763
1,2017-05-01,586,4722
0,2017-05-02,691,3612
1,2017-05-02,298,9854
0,2017-05-03,732,207
1,2017-05-03,390,8037
0,2017-05-04,460,9304
1,2017-05-04,691,4931
0,2017-05-05,841,2481
1,2017-05-05,811,4673
0,2017-05-06,989,5421
1,2017-05-06,821,4817
0,2017-05-07,569,2438
1,2017-05-07,316,878
0,2017-05-08,413,5827
1,2017-05-08,156,7496
0,2017-05-09,568,3541
1,2017-05-09,273,738
0,2017-05-10,591,1272
1,2017-05-10,201,8940
0,2017-05-11,890,2689
1,2017-05-11,416,8562
0,2017-05-12,901,2121
1,2017-05-12,976,9154
0,2017-05-13,293,8830
1,2017-05-13,172,6017
0,2017-05-14,112,1281
1,2017-05-14,957,9623
0,2017-05-15,743,7209
1,2017-05-15,33,974
0,2017-05-16,125,9704
1,2017-05-16,874,7920
0,2017-05-17,582,6221
1,2017-05-17,787,6263
0,2017-05-18,347,5694
1,2017-05-18,952,2720
0,2017-05-19,596,8712
1,2017-05-19,177,565
0,2017-05-20,464,8008
1,2017-05-20,237,6417
0,2017-05-21,378,6850
1,2017-05-21,138,9765
0,2017-05-22,320,9412
1,2017-05-22,421,5234
0,2017-05-23,235,9285
1,2017-05-23,535,608
0,2017-05-24,678,6155
1,2017-05-24,548,2899
0,2017-05-25,841,6167
1,2017-05-25,560,3199
0,2017-05-26,226,2975
1,2017-05-26,16,437
0,2017-05-27,647,2297
1,2017-05-27,866,5821
0,2017-05-28,353,6517
1,2017-05-28,183,9713
0,2017-05-29,643,7069
1,2017-05-29,772,1549
0,2017-05-30,489,3302
1,2017-05-30,22,300
0,2017-05-31,510,3230
1,2017-05-31,331,8329
0,2017-06-01,657,2325
1,2017-06-01,935,5263
0,2017-06-02,596,6037
1,2017-06-02,954,9997
0,2017-06-03,576,6442
1,2017-06-03,807,8145
0,2017-06-04,488,3836
1,2017-06-04,26,2769
0,2017-06-05,697,842
1,2017-06-05,45,9291
0,2017-06-06,132,5634
1,2017-06-06,266,7680
