Day - Draw, Date, Pick 3, Pick 4, Pick 5, Classic Lotto, Kicker, Rolling Cash 5, Mega Millions, Powerball, Lucky For Life
SUN - MID, 1/1/2012, 991, 0979, , , , , , ,
SUN - EVE, 1/1/2012, 441, 7036, , , , 13 25 27 32 38 $120000.00, , ,
MON - MID, 1/2/2012, 516, 1507, , , , , , ,
MON - EVE, 1/2/2012, 629, 0452, , 6 10 19 21 22 39 $2.00 M/0, , 1 10 13 31 39 $130000.00, , ,
TUE - MID, 1/3/2012, 188, 1857, , , , , , ,
TUE - EVE, 1/3/2012, 212, 9676, , , , 1 2 17 28 29 $163000.00, 2 3 15 22 36 +23 x2 $15.00 M/0, ,
WED - MID, 1/4/2012, 845, 1985, , , , , , ,
WED - EVE, 1/4/2012, 349, 4649, , 16 26 28 37 43 47 $2.10 M/0, , 10 13 21 26 32 $202000.00, , 21 35 46 47 50 +2 x-1 $30.00 M/0,
THU - MID, 1/5/2012, 219, 6062, , , , , , ,
THU - EVE, 1/5/2012, 444, 9039, , , , 2 9 20 21 39 $254000.00, , ,
FRI - MID, 1/6/2012, 345, 4654, , , , , , ,
FRI - EVE, 1/6/2012, 013, 7622, , , , 10 19 32 37 39 $310000.00, 9 17 28 34 48 +46 x2 $25.00 M/0, ,
SAT - MID, 1/7/2012, 519, 7717, , , , , , ,
SAT - EVE, 1/7/2012, 346, 0753, , 12 13 14 33 41 47 $2.20 M/0, , 16 22 23 25 30 $386000.00, , 3 21 24 38 39 +24 x-1 $44.00 M/0,
SUN - MID, 1/8/2012, 503, 0598, , , , , , ,
SUN - EVE, 1/8/2012, 938, 3705, , , , 8 17 26 37 39 $456000.00, , ,
MON - MID, 1/9/2012, 010, 3799, , , , , , ,
MON - EVE, 1/9/2012, 109, 3606, , 4 7 9 28 34 40 $2.30 M/0, , 12 14 16 28 37 $531000.00, , ,
TUE - MID, 1/10/2012, 994, 7084, , , , , , ,
TUE - EVE, 1/10/2012, 123, 8013, , , , 7 27 35 36 37 $627000.00, 4 10 16 38 48 +34 x3 $33.00 M/0, ,
WED - MID, 1/11/2012, 514, 6316, , , , , , ,
WED - EVE, 1/11/2012, 875, 4067, , 3 4 11 28 31 38 $2.40 M/0, , 10 22 25 28 36 $739000.00, , 5 19 29 45 47 +25 x-1 $54.00 M/0,
THU - MID, 1/12/2012, 275, 6257, , , , , , ,
THU - EVE, 1/12/2012, 609, 7248, , , , 1 3 6 10 19 $100000.00, , ,
FRI - MID, 1/13/2012, 526, 6160, , , , , , ,
FRI - EVE, 1/13/2012, 562, 0369, , , , 6 22 28 38 39 $110000.00, 10 27 28 37 51 +19 x3 $42.00 M/0, ,
SAT - MID, 1/14/2012, 292, 6200, , , , , , ,
SAT - EVE, 1/14/2012, 984, 8361, , 1 27 36 38 41 45 $2.50 M/0, , 3 5 11 19 35 $120000.00, , 10 30 36 38 41 +1 x5 $66.00 M/0,
SUN - MID, 1/15/2012, 337, 6777, , , , , , ,
SUN - EVE, 1/15/2012, 945, 7672, , , , 7 9 12 19 31 $130000.00, , ,
MON - MID, 1/16/2012, 309, 1635, , , , , , ,
MON - EVE, 1/16/2012, 622, 6509, , 20 25 41 43 44 49 $2.60 M/0, , 5 11 18 21 29 $140000.00, , ,
TUE - MID, 1/17/2012, 560, 5259, , , , , , ,
TUE - EVE, 1/17/2012, 176, 7265, , , , 15 18 25 32 36 $100000.00, 3 15 31 36 53 +27 x2 $50.00 M/0, ,
WED - MID, 1/18/2012, 352, 7655, , , , , , ,
WED - EVE, 1/18/2012, 126, 3817, , 3 20 26 42 43 45 $2.70 M/0, , 1 17 29 35 36 $110000.00, , 6 29 34 44 50 +28 x-1 $80.00 M/0,
THU - MID, 1/19/2012, 697, 4548, , , , , , ,
