Day - Draw, Date, Pick 3, Pick 4, Pick 5, Classic Lotto, Kicker, Rolling Cash 5, Mega Millions, Powerball, Lucky For Life
SAT - MID, 1/1/2011, 491, 1356, , , , , , ,
SAT - EVE, 1/1/2011, 915, 6256, , 11 18 23 25 32 47 $17.60 M/0, , 4 11 16 18 23 $110000.00, , 18 22 37 47 54 +36 x2 $25.00 M/0,
SUN - MID, 1/2/2011, 020, 3584, , , , , , ,
SUN - EVE, 1/2/2011, 562, 6649, , , , 3 12 21 29 39 $120000.00, , ,
MON - MID, 1/3/2011, 529, 9799, , , , , , ,
MON - EVE, 1/3/2011, 588, 3102, , 4 11 15 25 29 48 $17.80 M/0, , 6 26 34 38 39 $100000.00, , ,
TUE - MID, 1/4/2011, 720, 9455, , , , , , ,
TUE - EVE, 1/4/2011, 208, 0539, , , , 2 7 16 27 28 $110000.00, 4 8 15 25 47 +42 x0 $355.00 M/2, ,
WED - MID, 1/5/2011, 078, 6267, , , , , , ,
WED - EVE, 1/5/2011, 606, 3768, , 10 15 16 22 26 45 $18.00 M/0, , 3 12 23 24 34 $100000.00, , 22 26 32 38 40 +7 x5 $34.00 M/0,
THU - MID, 1/6/2011, 800, 2979, , , , , , ,
THU - EVE, 1/6/2011, 206, 0462, , , , 1 13 18 26 38 $110000.00, , ,
FRI - MID, 1/7/2011, 796, 4872, , , , , , ,
FRI - EVE, 1/7/2011, 623, 1260, , , , 7 13 22 34 36 $120000.00, 4 22 42 46 53 +20 x0 $12.00 M/0, ,
SAT - MID, 1/8/2011, 188, 5398, , , , , , ,
SAT - EVE, 1/8/2011, 026, 4053, , 6 7 32 39 41 46 $18.20 M/0, , 4 11 13 16 38 $130000.00, , 6 7 26 33 52 +24 x2 $51.00 M/0,
SUN - MID, 1/9/2011, 327, 8758, , , , , , ,
SUN - EVE, 1/9/2011, 715, 7766, , , , 12 17 31 36 38 $155000.00, , ,
MON - MID, 1/10/2011, 957, 2796, , , , , , ,
MON - EVE, 1/10/2011, 518, 8248, , 14 23 26 27 32 41 $18.50 M/0, , 10 17 30 36 37 $194000.00, , ,
TUE - MID, 1/11/2011, 592, 2384, , , , , , ,
TUE - EVE, 1/11/2011, 472, 3117, , , , 5 6 12 18 21 $244000.00, 1 4 11 16 45 +37 x0 $20.00 M/0, ,
WED - MID, 1/12/2011, 555, 2718, , , , , , ,
WED - EVE, 1/12/2011, 144, 8249, , 2 11 19 24 26 49 $18.70 M/0, , 6 23 29 30 31 $100000.00, , 19 21 23 40 48 +27 x4 $67.00 M/0,
THU - MID, 1/13/2011, 749, 3232, , , , , , ,
THU - EVE, 1/13/2011, 494, 6767, , , , 4 17 19 26 36 $100000.00, , ,
FRI - MID, 1/14/2011, 650, 1423, , , , , , ,
FRI - EVE, 1/14/2011, 789, 0535, , , , 13 17 22 34 38 $110000.00, 2 15 17 33 35 +8 x0 $30.00 M/0, ,
SAT - MID, 1/15/2011, 132, 4503, , , , , , ,
SAT - EVE, 1/15/2011, 197, 2628, , 2 6 9 24 29 44 $18.80 M/0, , 6 17 30 32 34 $120000.00, , 9 13 22 23 37 +31 x3 $82.00 M/0,
SUN - MID, 1/16/2011, 978, 7173, , , , , , ,
SUN - EVE, 1/16/2011, 953, 4169, , , , 2 7 9 18 35 $135000.00, , ,
MON - MID, 1/17/2011, 490, 9208, , , , , , ,
MON - EVE, 1/17/2011, 090, 3338, , 4 6 15 35 43 47 $19.10 M/0, , 12 13 25 29 30 $162000.00, , ,
TUE - MID, 1/18/2011, 114, 1943, , , , , , ,
TUE - EVE, 1/18/2011, 149, 0872, , , , 3 7 20 33 36 $100000.00, 4 27 29 38 45 +5 x4 $40.00 M/0, ,
WED - MID, 1/19/2011, 723, 9451, , , , , , ,
WED - EVE, 1/19/2011, 081, 8206, , 1 4 15 24 25 33 $19.30 M/0, , 2 5 7 16 20 $110000.00, , 22 36 51 56 59 +32 x3 $96.00 M/0,
THU - MID, 1/20/2011, 165, 1065, , , , , , ,
THU - EVE, 1/20/2011, 975, 0584, , , , 6 9 16 18 21 $120000.00, , ,
FRI - MID, 1/21/2011, 894, 0072, , , , , , ,
FRI - EVE, 1/21/2011, 560, 0260, , , , 2 5 14 17 26 $130000.00, 5 9 21 35 38 +20 x4 $51.00 M/0, ,
SAT - MID, 1/22/2011, 001, 8323, , , , , , ,
