Day - Draw, Date, Pick 3, Pick 4, Pick 5, Classic Lotto, Kicker, Rolling Cash 5, Mega Millions, Powerball, Lucky For Life
WED - EVE, 1/15/2020, 989, 3917, 49077, 10 12 14 37 40 49 $8.30 M/0, 362360, 8 20 24 27 28 $130000.00, , 39 41 53 55 68 +19 x2 $296.00 M/0,
THU - MID, 1/16/2020, 214, 1495, 64596, , , , , ,
THU - EVE, 1/16/2020, 911, 3365, 08523, , , 8 20 33 36 39 $100000.00, , ,10 13 15 30 33 +80
FRI - MID, 1/17/2020, 592, 9580, 01193, , , , , ,
FRI - EVE, 1/17/2020, 100, 8526, 59418, , , 10 14 26 30 34 $110000.00, 3 25 30 54 70 +9 x3 $103.00 M/0, ,
SAT - MID, 1/18/2020, 612, 0936, 66510, , , , , ,
SAT - EVE, 1/18/2020, 268, 4869, 84627, 5 17 28 38 39 48 $8.40 M/0, 729692, 8 11 29 30 37 $120000.00, , 20 24 38 56 68 +18 x2 $321.00 M/0,
SUN - MID, 1/19/2020, 793, 3754, 83261, , , , , ,
SUN - EVE, 1/19/2020, 035, 7958, 84480, , , 8 9 16 17 28 $130000.00, , ,
MON - MID, 1/20/2020, 317, 2278, 09997, , , , , ,
MON - EVE, 1/20/2020, 639, 7228, 44069, 14 24 36 43 47 48 $8.50 M/0, 397616, 6 10 16 27 39 $100000.00, , ,4 7 8 18 27 +50
TUE - MID, 1/21/2020, 089, 4854, 39576, , , , , ,
TUE - EVE, 1/21/2020, 786, 7104, 78386, , , 11 14 17 18 28 $110000.00, 16 18 29 31 37 +8 x3 $116.00 M/0, ,
WED - MID, 1/22/2020, 600, 9914, 67495, , , , , ,
WED - EVE, 1/22/2020, 690, 3074, 37947, 4 5 16 17 39 44 $8.60 M/0, 486759, 11 13 16 31 34 $120000.00, , 11 33 44 59 67 +8 x3 $343.00 M/0,
THU - MID, 1/23/2020, 765, 8738, 06544, , , , , ,
THU - EVE, 1/23/2020, 412, 0888, 61667, , , 8 11 14 15 16 $130000.00, , ,11 25 28 33 42 +180
FRI - MID, 1/24/2020, 526, 4408, 59615, , , , , ,
FRI - EVE, 1/24/2020, 357, 0481, 77522, , , 6 7 22 28 39 $100000.00, 3 4 18 23 38 +24 x4 $130.00 M/0, ,
SAT - MID, 1/25/2020, 087, 3227, 19544, , , , , ,
SAT - EVE, 1/25/2020, 922, 4329, 21258, 3 19 22 29 38 41 $8.70 M/0, 129432, 6 10 18 26 36 $110000.00, , 2 9 17 36 67 +18 x2 $373.00 M/0,
SUN - MID, 1/26/2020, 157, 6130, 98402, , , , , ,
SUN - EVE, 1/26/2020, 511, 4271, 32646, , , 5 17 27 28 30 $120000.00, , ,
MON - MID, 1/27/2020, 019, 4381, 23797, , , , , ,
MON - EVE, 1/27/2020, 976, 2392, 81695, 11 29 33 38 39 44 $8.80 M/0, 585821, 1 7 27 34 37 $130000.00, , ,1 7 17 22 29 +150
TUE - MID, 1/28/2020, 689, 0693, 44624, , , , , ,
TUE - EVE, 1/28/2020, 692, 3600, 03384, , , 1 2 12 29 35 $100000.00, 17 36 47 51 62 +21 x3 $141.00 M/0, ,
WED - MID, 1/29/2020, 403, 5813, 37259, , , , , ,
WED - EVE, 1/29/2020, 927, 7158, 50565, 11 16 21 37 38 39 $8.90 M/0, 003076, 3 7 11 37 38 $110000.00, , 9 12 15 31 60 +2 x2 $394.00 M/1,
THU - MID, 1/30/2020, 477, 4028, 09196, , , , , ,
THU - EVE, 1/30/2020, 881, 5680, 93642, , , 1 18 24 28 39 $120000.00, , ,4 6 8 18 39 +150
FRI - MID, 1/31/2020, 405, 4086, 50455, , , , , ,
FRI - EVE, 1/31/2020, 044, 7518, 28270, , , 6 8 21 26 39 $130000.00, 28 31 33 57 62 +19 x2 $155.00 M/0, ,
SAT - MID, 2/1/2020, 911, 3258, 58472, , , , , ,
SAT - EVE, 2/1/2020, 049, 9841, 71907, 10 18 20 22 30 47 $9.00 M/0, 454586, 4 11 19 23 39 $100000.00, , 12 33 54 57 60 +13 x4 $40.00 M/0,
SUN - MID, 2/2/2020, 698, 9120, 55530, , , , , ,
SUN - EVE, 2/2/2020, 780, 8692, 31411, , , 7 8 27 32 36 $100000.00, , ,
MON - MID, 2/3/2020, 743, 2475, 91770, , , , , ,
MON - EVE, 2/3/2020, 575, 7615, 04747, 10 22 29 38 42 46 $9.10 M/0, 392496, 2 24 34 36 38 $110000.00, , ,2 9 34 36 48 +130
TUE - MID, 2/4/2020, 125, 2383, 29481, , , , , ,
TUE - EVE, 2/4/2020, 249, 1918, 22276, , , 5 8 13 36 39 $120000.00, 32 48 50 51 64 +10 x2 $168.00 M/0, ,
WED - MID, 2/5/2020, 206, 4354, 92135, , , , , ,
WED - EVE, 2/5/2020, 677, 1321, 47151, 13 17 25 28 33 34 $9.20 M/0, 636461, 4 11 12 23 25 $130000.00, , 23 30 35 41 57 +2 x3 $50.00 M/0,
THU - MID, 2/6/2020, 701, 1142, 61006, , , , , ,
THU - EVE, 2/6/2020, 862, 8451, 65485, , , 8 10 18 27 29 $140000.00, , ,18 30 31 33 34 +160
FRI - MID, 2/7/2020, 916, 8375, 25293, , , , , ,
FRI - EVE, 2/7/2020, 220, 0304, 41097, , , 5 9 21 25 29 $150000.00, 9 14 27 36 52 +4 x3 $187.00 M/0, ,
SAT - MID, 2/8/2020, 977, 6991, 82210, , , , , ,
SAT - EVE, 2/8/2020, 733, 2702, 44612, 10 16 31 34 36 46 $9.30 M/0, 638367, 6 10 11 14 32 $100000.00, , 35 49 50 59 66 +6 x2 $60.00 M/0,
SUN - MID, 2/9/2020, 062, 2951, 24199, , , , , ,
SUN - EVE, 2/9/2020, 346, 1632, 98629, , , 3 14 15 31 39 $110000.00, , ,
MON - MID, 2/10/2020, 893, 4442, 00504, , , , , ,
MON - EVE, 2/10/2020, 562, 8439, 97664, 3 6 16 18 37 42 $9.40 M/0, 813530, 4 19 22 25 34 $120000.00, , ,3 7 21 25 26 +40
TUE - MID, 2/11/2020, 262, 6411, 79581, , , , , ,
TUE - EVE, 2/11/2020, 472, 8316, 81003, , , 5 12 15 30 37 $130000.00, 4 6 32 52 64 +6 x2 $202.00 M/1, ,
