Day - Draw, Date, Pick 3, Pick 4, Pick 5, Classic Lotto, Kicker, Rolling Cash 5, Mega Millions, Powerball, Lucky For Life
TUE - MID, 1/1/2013, 473, 0686, 92367, , , , , ,
TUE - EVE, 1/1/2013, 639, 8213, 57210, , , 7 28 31 33 39 $100000.00, 4 11 21 25 44 +29 x4 $30.00 M/0, ,
WED - MID, 1/2/2013, 875, 9055, 61300, , , , , ,
WED - EVE, 1/2/2013, 340, 3113, 51129, 1 4 18 28 35 47 $25.10 M/0, 603318, 4 18 28 35 36 $110000.00, , 18 20 28 35 53 +20 x-1 $50.00 M/0,
THU - MID, 1/3/2013, 603, 4290, 09323, , , , , ,
THU - EVE, 1/3/2013, 672, 6160, 28943, , , 6 12 18 21 31 $120000.00, , ,
FRI - MID, 1/4/2013, 421, 6861, 46303, , , , , ,
FRI - EVE, 1/4/2013, 532, 5268, 86879, , , 3 4 16 20 34 $130000.00, 1 2 23 25 55 +39 x4 $39.00 M/0, ,
SAT - MID, 1/5/2013, 903, 3516, 87539, , , , , ,
SAT - EVE, 1/5/2013, 218, 3379, 18620, 5 11 15 25 36 40 $25.30 M/0, 781536, 4 8 12 22 24 $143000.00, , 26 30 49 51 54 +25 x-1 $60.00 M/0,
SUN - MID, 1/6/2013, 228, 5886, 84693, , , , , ,
SUN - EVE, 1/6/2013, 919, 2841, 02431, , , 4 15 17 22 26 $100000.00, , ,
MON - MID, 1/7/2013, 548, 8615, 73284, , , , , ,
MON - EVE, 1/7/2013, 823, 9488, 63707, 3 19 27 30 33 36 $25.50 M/0, 627804, 1 7 13 16 27 $110000.00, , ,
TUE - MID, 1/8/2013, 766, 3943, 08831, , , , , ,
TUE - EVE, 1/8/2013, 499, 1977, 25792, , , 1 3 7 31 32 $120000.00, 3 20 21 38 42 +19 x4 $47.00 M/0, ,
WED - MID, 1/9/2013, 466, 8101, 07291, , , , , ,
WED - EVE, 1/9/2013, 176, 9393, 70485, 12 18 28 31 39 45 $25.60 M/0, 317396, 15 20 21 34 37 $130000.00, , 11 13 20 27 59 +26 x-1 $70.00 M/0,
THU - MID, 1/10/2013, 187, 6928, 80096, , , , , ,
THU - EVE, 1/10/2013, 960, 4906, 74485, , , 6 13 26 30 37 $140000.00, , ,
FRI - MID, 1/11/2013, 780, 7446, 09607, , , , , ,
FRI - EVE, 1/11/2013, 749, 2000, 71767, , , 6 15 27 36 38 $175000.00, 24 29 30 34 56 +1 x4 $55.00 M/0, ,
SAT - MID, 1/12/2013, 630, 1094, 62413, , , , , ,
SAT - EVE, 1/12/2013, 287, 3999, 16816, 10 11 25 32 40 43 $25.80 M/0, 608724, 6 18 23 26 38 $230000.00, , 10 14 21 23 47 +7 x-1 $80.00 M/0,
SUN - MID, 1/13/2013, 406, 7391, 07500, , , , , ,
SUN - EVE, 1/13/2013, 214, 1063, 05270, , , 12 14 24 25 38 $278000.00, , ,
MON - MID, 1/14/2013, 306, 0143, 07504, , , , , ,
MON - EVE, 1/14/2013, 170, 1164, 89882, 3 12 23 37 42 47 $26.00 M/0, 295075, 10 20 26 29 35 $323000.00, , ,
TUE - MID, 1/15/2013, 442, 2940, 68701, , , , , ,
TUE - EVE, 1/15/2013, 766, 9878, 25861, , , 8 12 16 28 33 $100000.00, 1 6 12 19 41 +14 x4 $62.00 M/0, ,
WED - MID, 1/16/2013, 695, 5559, 52787, , , , , ,
WED - EVE, 1/16/2013, 819, 4559, 15923, 7 22 25 26 38 40 $26.10 M/0, 966363, 3 11 29 32 38 $110000.00, , 9 21 28 32 51 +35 x-1 $90.00 M/0,
THU - MID, 1/17/2013, 920, 9821, 33711, , , , , ,
THU - EVE, 1/17/2013, 668, 5395, 37550, , , 7 16 19 24 39 $120000.00, , ,
FRI - MID, 1/18/2013, 749, 5890, 75065, , , , , ,
FRI - EVE, 1/18/2013, 217, 1606, 73956, , , 7 11 20 22 29 $130000.00, 8 18 25 42 49 +14 x3 $70.00 M/0, ,
SAT - MID, 1/19/2013, 038, 1127, 40134, , , , , ,
SAT - EVE, 1/19/2013, 113, 8749, 17616, 6 15 27 32 35 41 $26.30 M/0, 264911, 1 6 11 20 37 $100000.00, , 8 28 29 34 38 +35 x-1 $100.00 M/0,
SUN - MID, 1/20/2013, 828, 3258, 68315, , , , , ,
SUN - EVE, 1/20/2013, 371, 2465, 70444, , , 4 12 28 33 35 $110000.00, , ,
MON - MID, 1/21/2013, 090, 2452, 74478, , , , , ,
MON - EVE, 1/21/2013, 186, 3457, 43164, 1 4 12 16 31 46 $26.50 M/0, 152075, 3 11 21 23 36 $120000.00, , ,
TUE - MID, 1/22/2013, 592, 7506, 21039, , , , , ,
TUE - EVE, 1/22/2013, 702, 3785, 48168, , , 5 22 29 31 36 $130000.00, 7 11 16 39 54 +13 x3 $80.00 M/0, ,
WED - MID, 1/23/2013, 280, 4752, 52826, , , , , ,
WED - EVE, 1/23/2013, 944, 9682, 37203, 3 7 14 26 47 48 $26.60 M/0, 287619, 4 5 8 20 23 $140000.00, , 11 12 24 43 45 +9 x-1 $110.00 M/0,
THU - MID, 1/24/2013, 619, 9362, 14911, , , , , ,
THU - EVE, 1/24/2013, 894, 8562, 37978, , , 1 25 30 34 38 $150000.00, , ,
FRI - MID, 1/25/2013, 515, 3908, 16911, , , , , ,
