Day - Draw, Date, Pick 3, Pick 4, Pick 5, Classic Lotto, Kicker, Rolling Cash 5, Mega Millions, Powerball, Lucky For Life
FRI - MID, 1/1/2016, 594, 4547, 79735, , , , , ,
FRI - EVE, 1/1/2016, 988, 9775, 41624, , , 3 9 13 20 28 $130000.00, 7 18 37 38 39 +9 x5 $130.00 M/0, ,
SAT - MID, 1/2/2016, 163, 4100, 05681, , , , , ,
SAT - EVE, 1/2/2016, 727, 6249, 97032, 7 13 15 16 38 43 $1.00 M/0, 597525, 2 3 11 18 39 $140000.00, , 5 6 15 29 42 +10 x2 $334.00 M/0,
SUN - MID, 1/3/2016, 414, 6767, 05616, , , , , ,
SUN - EVE, 1/3/2016, 035, 0441, 63026, , , 10 11 19 23 33 $164000.00, , ,
MON - MID, 1/4/2016, 925, 4680, 45091, , , , , ,
MON - EVE, 1/4/2016, 628, 8823, 74712, 6 10 18 20 22 33 $1.10 M/0, 313046, 1 3 10 22 23 $192000.00, , ,1 25 31 43 45 +130
TUE - MID, 1/5/2016, 299, 1402, 99247, , , , , ,
TUE - EVE, 1/5/2016, 136, 2094, 20536, , , 7 12 15 18 21 $100000.00, 1 4 36 48 57 +13 x5 $145.00 M/0, ,
WED - MID, 1/6/2016, 521, 0197, 79123, , , , , ,
WED - EVE, 1/6/2016, 762, 5090, 62928, 2 20 30 32 39 49 $1.20 M/0, 675243, 1 3 11 13 27 $100000.00, , 2 11 47 62 63 +17 x3 $500.00 M/0,
THU - MID, 1/7/2016, 707, 2170, 66307, , , , , ,
THU - EVE, 1/7/2016, 216, 4466, 73464, , , 4 27 29 35 39 $100000.00, , ,5 21 28 35 47 +120
FRI - MID, 1/8/2016, 439, 6452, 96696, , , , , ,
FRI - EVE, 1/8/2016, 658, 6820, 95592, , , 2 5 23 29 35 $110000.00, 11 39 51 57 75 +2 x5 $165.00 M/1, ,
SAT - MID, 1/9/2016, 662, 1714, 00508, , , , , ,
SAT - EVE, 1/9/2016, 501, 8766, 79581, 4 18 20 24 30 47 $1.30 M/0, 192215, 10 11 25 30 34 $120000.00, , 16 19 32 34 57 +13 x3 $900.00 M/0,
SUN - MID, 1/10/2016, 314, 9459, 64091, , , , , ,
SUN - EVE, 1/10/2016, 546, 1718, 37430, , , 11 29 32 34 35 $130000.00, , ,
MON - MID, 1/11/2016, 724, 8523, 70608, , , , , ,
MON - EVE, 1/11/2016, 270, 5280, 68291, 15 19 23 26 30 37 $1.40 M/0, 675984, 5 22 29 31 39 $144000.00, , ,21 26 28 35 47 +90
TUE - MID, 1/12/2016, 597, 9495, 40427, , , , , ,
TUE - EVE, 1/12/2016, 503, 2808, 92256, , , 6 9 17 24 29 $187000.00, 15 27 29 31 48 +15 x4 $15.00 M/0, ,
WED - MID, 1/13/2016, 977, 4747, 83007, , , , , ,
WED - EVE, 1/13/2016, 294, 9409, 79013, 2 9 11 24 31 48 $1.50 M/0, 679478, 2 18 35 36 37 $215000.00, , 4 8 19 27 34 +10 x2 $1500.00 M/3,
THU - MID, 1/14/2016, 640, 8975, 81135, , , , , ,
THU - EVE, 1/14/2016, 176, 2716, 38780, , , 7 10 15 16 32 $270000.00, , ,2 6 33 41 48 +60
FRI - MID, 1/15/2016, 405, 5179, 54250, , , , , ,
FRI - EVE, 1/15/2016, 563, 5469, 07942, , , 4 8 10 27 35 $100000.00, 29 41 53 54 70 +12 x2 $22.00 M/0, ,
SAT - MID, 1/16/2016, 600, 8258, 50830, , , , , ,
SAT - EVE, 1/16/2016, 635, 2225, 19199, 4 8 19 40 45 49 $1.60 M/0, 948318, 7 11 12 13 27 $110000.00, , 3 51 52 61 64 +6 x2 $40.00 M/0,
SUN - MID, 1/17/2016, 899, 2283, 83190, , , , , ,
SUN - EVE, 1/17/2016, 749, 4789, 60752, , , 14 15 18 21 32 $120000.00, , ,
MON - MID, 1/18/2016, 614, 9763, 91548, , , , , ,
MON - EVE, 1/18/2016, 775, 3403, 55838, 2 6 14 23 26 48 $1.70 M/0, 444839, 21 24 30 35 38 $130000.00, , ,2 12 26 41 48 +40
TUE - MID, 1/19/2016, 280, 3809, 00848, , , , , ,
TUE - EVE, 1/19/2016, 297, 4621, 01069, , , 8 19 28 30 36 $100000.00, 2 17 31 39 47 +9 x2 $30.00 M/0, ,
WED - MID, 1/20/2016, 443, 4827, 64015, , , , , ,
WED - EVE, 1/20/2016, 696, 6693, 01136, 4 7 8 30 33 49 $1.80 M/0, 172358, 1 6 14 20 29 $110000.00, , 5 39 44 47 69 +24 x5 $50.00 M/0,
THU - MID, 1/21/2016, 158, 7327, 13426, , , , , ,
THU - EVE, 1/21/2016, 931, 8374, 91755, , , 12 21 24 28 32 $120000.00, , ,3 7 10 18 33 +70
FRI - MID, 1/22/2016, 780, 7600, 70311, , , , , ,
FRI - EVE, 1/22/2016, 978, 4491, 99948, , , 5 12 20 25 31 $130000.00, 21 25 40 46 56 +3 x5 $39.00 M/0, ,
SAT - MID, 1/23/2016, 888, 6708, 41608, , , , , ,
SAT - EVE, 1/23/2016, 088, 3275, 57944, 1 3 7 24 42 44 $1.90 M/0, 034273, 6 9 16 30 32 $100000.00, , 22 32 34 40 69 +19 x4 $60.00 M/0,
SUN - MID, 1/24/2016, 294, 9079, 29544, , , , , ,
SUN - EVE, 1/24/2016, 187, 3521, 72443, , , 1 18 26 36 38 $110000.00, , ,
MON - MID, 1/25/2016, 018, 0524, 04544, , , , , ,
MON - EVE, 1/25/2016, 926, 8674, 11383, 5 25 26 27 34 35 $2.00 M/0, 231432, 13 16 17 31 36 $120000.00, , ,17 39 41 42 47 +10
TUE - MID, 1/26/2016, 777, 5517, 98611, , , , , ,
TUE - EVE, 1/26/2016, 103, 3549, 90690, , , 6 14 29 30 32 $130000.00, 14 27 39 50 69 +2 x2 $48.00 M/0, ,
WED - MID, 1/27/2016, 870, 3124, 69089, , , , , ,
WED - EVE, 1/27/2016, 073, 7503, 06833, 6 15 21 34 36 48 $2.10 M/0, 158531, 13 20 22 31 34 $100000.00, , 3 12 40 52 67 +21 x2 $75.00 M/0,
THU - MID, 1/28/2016, 125, 0949, 82970, , , , , ,
THU - EVE, 1/28/2016, 421, 8178, 46613, , , 10 18 20 32 39 $110000.00, , ,1 14 24 35 43 +40
FRI - MID, 1/29/2016, 556, 4272, 45082, , , , , ,
FRI - EVE, 1/29/2016, 472, 9753, 53924, , , 3 4 19 21 38 $120000.00, 20 28 49 51 52 +6 x2 $56.00 M/0, ,
SAT - MID, 1/30/2016, 631, 9685, 49155, , , , , ,
SAT - EVE, 1/30/2016, 856, 5133, 40976, 5 19 20 34 48 49 $2.20 M/0, 311935, 6 13 24 31 36 $130000.00, , 5 12 16 31 43 +18 x4 $96.00 M/0,
SUN - MID, 1/31/2016, 994, 4245, 39999, , , , , ,
SUN - EVE, 1/31/2016, 163, 1521, 75377, , , 7 9 16 32 34 $159000.00, , ,
MON - MID, 2/1/2016, 437, 0130, 57120, , , , , ,
MON - EVE, 2/1/2016, 505, 2796, 00862, 1 3 9 13 16 36 $2.30 M/0, 028821, 1 5 12 24 33 $199000.00, , ,14 15 22 25 38 +170
TUE - MID, 2/2/2016, 462, 0453, 50757, , , , , ,
TUE - EVE, 2/2/2016, 269, 8121, 00098, , , 9 21 24 34 38 $239000.00, 7 13 25 51 70 +9 x4 $63.00 M/0, ,
WED - MID, 2/3/2016, 558, 1010, 07938, , , , , ,
WED - EVE, 2/3/2016, 733, 6307, 14978, 14 25 31 32 39 48 $2.40 M/0, 590463, 5 8 10 23 26 $100000.00, , 26 28 31 60 67 +23 x3 $112.00 M/0,
THU - MID, 2/4/2016, 863, 7573, 40654, , , , , ,
THU - EVE, 2/4/2016, 374, 4903, 76214, , , 7 8 21 23 35 $100000.00, , ,5 8 22 23 34 +50
FRI - MID, 2/5/2016, 989, 3889, 08969, , , , , ,
FRI - EVE, 2/5/2016, 314, 6686, 91501, , , 9 16 18 22 38 $100000.00, 4 6 23 55 75 +2 x3 $71.00 M/0, ,
SAT - MID, 2/6/2016, 090, 8110, 79525, , , , , ,
SAT - EVE, 2/6/2016, 780, 4689, 28309, 6 27 37 38 43 44 $2.50 M/0, 373415, 19 23 31 33 38 $100000.00, , 4 13 31 36 52 +8 x3 $136.00 M/0,
SUN - MID, 2/7/2016, 895, 9341, 91604, , , , , ,
SUN - EVE, 2/7/2016, 085, 9089, 15215, , , 3 7 13 31 34 $100000.00, , ,
MON - MID, 2/8/2016, 126, 0414, 30193, , , , , ,
MON - EVE, 2/8/2016, 038, 6985, 83636, 3 9 11 14 22 37 $2.60 M/0, 120410, 24 27 37 38 39 $100000.00, , ,18 30 31 43 47 +160
TUE - MID, 2/9/2016, 038, 7591, 35028, , , , , ,
TUE - EVE, 2/9/2016, 954, 1269, 46331, , , 2 12 16 17 29 $100000.00, 3 42 46 56 71 +13 x4 $80.00 M/0, ,
WED - MID, 2/10/2016, 496, 9592, 10442, , , , , ,
WED - EVE, 2/10/2016, 639, 1190, 18878, 7 10 12 21 22 45 $2.70 M/0, 261228, 1 15 19 24 33 $110000.00, , 2 3 40 50 62 +5 x2 $157.00 M/0,
THU - MID, 2/11/2016, 886, 1626, 00035, , , , , ,
THU - EVE, 2/11/2016, 202, 9208, 04591, , , 15 23 26 34 37 $120000.00, , ,11 27 29 31 36 +50
FRI - MID, 2/12/2016, 209, 5758, 00231, , , , , ,
FRI - EVE, 2/12/2016, 700, 1253, 04407, , , 12 16 24 25 38 $130000.00, 1 7 44 68 73 +1 x3 $87.00 M/0, ,
SAT - MID, 2/13/2016, 143, 5520, 89425, , , , , ,
SAT - EVE, 2/13/2016, 346, 0851, 92684, 3 4 28 34 40 48 $2.80 M/0, 062629, 5 22 28 35 38 $140000.00, , 7 15 18 19 36 +20 x2 $176.00 M/0,
SUN - MID, 2/14/2016, 136, 2962, 32644, , , , , ,
SUN - EVE, 2/14/2016, 586, 1278, 59558, , , 1 8 11 14 36 $100000.00, , ,
MON - MID, 2/15/2016, 554, 1798, 03211, , , , , ,
MON - EVE, 2/15/2016, 321, 8395, 47033, 1 2 16 17 19 40 $2.90 M/0, 455614, 10 20 21 23 27 $110000.00, , ,1 4 11 25 27 +171
TUE - MID, 2/16/2016, 638, 9113, 29528, , , , , ,
TUE - EVE, 2/16/2016, 790, 5115, 09284, , , 5 12 14 17 30 $120000.00, 9 31 33 46 64 +4 x3 $94.00 M/0, ,
WED - MID, 2/17/2016, 808, 3225, 96234, , , , , ,
WED - EVE, 2/17/2016, 267, 8105, 23003, 1 5 15 32 34 40 $3.00 M/0, 974833, 4 11 20 26 37 $130000.00, , 7 17 27 29 40 +25 x2 $189.00 M/0,
THU - MID, 2/18/2016, 400, 6639, 08219, , , , , ,
THU - EVE, 2/18/2016, 933, 9852, 94660, , , 12 15 29 32 37 $100000.00, , ,5 16 21 26 41 +20
FRI - MID, 2/19/2016, 139, 9225, 10840, , , , , ,
FRI - EVE, 2/19/2016, 964, 1300, 51070, , , 17 23 33 37 38 $110000.00, 2 27 41 50 75 +4 x4 $104.00 M/0, ,
SAT - MID, 2/20/2016, 128, 3842, 74918, , , , , ,
SAT - EVE, 2/20/2016, 790, 2925, 51585, 12 15 21 28 37 40 $3.10 M/0, 524186, 1 2 19 29 34 $120000.00, , 11 12 15 16 54 +25 x5 $212.00 M/0,
SUN - MID, 2/21/2016, 427, 1262, 97192, , , , , ,
SUN - EVE, 2/21/2016, 728, 7569, 37637, , , 5 6 8 11 25 $130000.00, , ,
MON - MID, 2/22/2016, 386, 0447, 15290, , , , , ,
MON - EVE, 2/22/2016, 021, 2614, 04864, 9 15 20 24 28 47 $3.20 M/0, 157991, 26 28 29 31 36 $140000.00, , ,17 19 30 39 41 +160
TUE - MID, 2/23/2016, 593, 2548, 08268, , , , , ,
TUE - EVE, 2/23/2016, 058, 6596, 37585, , , 12 17 27 29 37 $181000.00, 16 32 39 53 57 +10 x5 $114.00 M/0, ,
WED - MID, 2/24/2016, 226, 3120, 14484, , , , , ,
WED - EVE, 2/24/2016, 122, 7779, 69085, 6 9 16 22 35 39 $3.30 M/0, 105128, 4 12 19 35 39 $218000.00, , 21 31 64 65 67 +5 x3 $236.00 M/0,
THU - MID, 2/25/2016, 820, 9181, 77360, , , , , ,
THU - EVE, 2/25/2016, 628, 9861, 24687, , , 11 15 17 21 30 $271000.00, , ,14 15 31 34 36 +70
FRI - MID, 2/26/2016, 836, 2725, 71447, , , , , ,
FRI - EVE, 2/26/2016, 025, 2591, 07042, , , 1 5 9 19 25 $314000.00, 3 15 19 62 74 +14 x4 $125.00 M/0, ,
SAT - MID, 2/27/2016, 436, 5276, 85437, , , , , ,
SAT - EVE, 2/27/2016, 471, 2491, 89244, 3 12 23 31 36 42 $3.40 M/0, 571656, 6 11 20 37 38 $100000.00, , 10 11 21 22 53 +18 x3 $266.00 M/0,
SUN - MID, 2/28/2016, 187, 2713, 54416, , , , , ,
SUN - EVE, 2/28/2016, 632, 6829, 55003, , , 4 5 7 33 34 $110000.00, , ,
MON - MID, 2/29/2016, 002, 4077, 98152, , , , , ,
MON - EVE, 2/29/2016, 133, 4260, 80210, 4 7 14 17 39 41 $3.50 M/0, 696883, 3 6 7 9 21 $120000.00, , ,19 26 31 34 40 +110
TUE - MID, 3/1/2016, 799, 9794, 06262, , , , , ,
TUE - EVE, 3/1/2016, 514, 3423, 16890, , , 6 11 12 23 28 $100000.00, 1 29 33 34 55 +6 x5 $135.00 M/0, ,
WED - MID, 3/2/2016, 666, 9981, 71604, , , , , ,
WED - EVE, 3/2/2016, 894, 0999, 65239, 11 14 19 28 43 49 $3.60 M/0, 049760, 3 4 6 13 27 $110000.00, , 12 13 44 52 62 +6 x2 $292.00 M/1,
THU - MID, 3/3/2016, 344, 3001, 52733, , , , , ,
THU - EVE, 3/3/2016, 453, 9409, 93036, , , 18 29 30 32 39 $120000.00, , ,3 4 10 18 21 +21
FRI - MID, 3/4/2016, 662, 0804, 01967, , , , , ,
FRI - EVE, 3/4/2016, 130, 0681, 19260, , , 6 12 14 25 36 $100000.00, 21 26 33 48 73 +14 x4 $144.00 M/0, ,
SAT - MID, 3/5/2016, 112, 9973, 31990, , , , , ,
SAT - EVE, 3/5/2016, 500, 8091, 93293, 9 19 23 29 32 45 $3.70 M/0, 941800, 3 9 10 28 38 $100000.00, , 3 27 34 59 69 +19 x2 $40.00 M/0,
SUN - MID, 3/6/2016, 059, 1968, 50705, , , , , ,
SUN - EVE, 3/6/2016, 770, 2361, 61744, , , 11 21 27 33 38 $110000.00, , ,
MON - MID, 3/7/2016, 044, 6296, 22567, , , , , ,
MON - EVE, 3/7/2016, 328, 5766, 94007, 8 10 22 24 25 48 $3.80 M/0, 395814, 5 9 11 12 20 $120000.00, , ,7 8 12 23 38 +30
TUE - MID, 3/8/2016, 978, 4029, 89822, , , , , ,
TUE - EVE, 3/8/2016, 108, 3194, 28377, , , 5 12 17 19 37 $100000.00, 27 37 54 66 69 +5 x5 $157.00 M/1, ,
WED - MID, 3/9/2016, 998, 6516, 94446, , , , , ,
WED - EVE, 3/9/2016, 144, 1811, 14093, 2 6 11 18 26 32 $3.90 M/0, 310736, 9 13 17 28 37 $110000.00, , 14 23 32 34 68 +3 x3 $50.00 M/0,
THU - MID, 3/10/2016, 169, 3841, 96519, , , , , ,
THU - EVE, 3/10/2016, 196, 7728, 83453, , , 1 11 28 37 38 $120000.00, , ,1 11 12 20 41 +120
FRI - MID, 3/11/2016, 631, 7282, 60249, , , , , ,
FRI - EVE, 3/11/2016, 985, 0578, 94282, , , 7 8 17 20 30 $130000.00, 14 18 48 54 71 +13 x4 $15.00 M/0, ,
