Day - Draw, Date, Pick 3, Pick 4, Pick 5, Classic Lotto, Kicker, Rolling Cash 5, Mega Millions, Powerball, Lucky For Life
WED - MID, 1/1/2014, 980, 2084, 16206, , , , , ,
WED - EVE, 1/1/2014, 468, 1138, 62978, 6 13 22 29 35 46 $56.30 M/0, 118109, 8 19 23 28 37 $317000.00, , 15 24 40 48 52 +23 x-1 $50.00 M/0,
THU - MID, 1/2/2014, 355, 3713, 43024, , , , , ,
THU - EVE, 1/2/2014, 834, 9221, 49704, , , 2 4 7 8 24 $372000.00, , ,
FRI - MID, 1/3/2014, 429, 2993, 69611, , , , , ,
FRI - EVE, 1/3/2014, 272, 2208, 33562, , , 12 18 21 23 37 $408000.00, 22 24 25 40 70 +5 x5 $61.00 M/1, ,
SAT - MID, 1/4/2014, 112, 0005, 91797, , , , , ,
SAT - EVE, 1/4/2014, 745, 0526, 36995, 4 5 18 23 26 37 $56.50 M/0, 302119, 8 9 19 33 38 $480000.00, , 19 20 37 41 58 +14 x-1 $60.00 M/0,
SUN - MID, 1/5/2014, 244, 6553, 48980, , , , , ,
SUN - EVE, 1/5/2014, 373, 2175, 21825, , , 9 13 19 36 39 $568000.00, , ,
MON - MID, 1/6/2014, 720, 5094, 21552, , , , , ,
MON - EVE, 1/6/2014, 590, 8890, 25688, 10 11 13 19 22 25 $56.80 M/0, 251911, 7 12 18 20 30 $655000.00, , ,
TUE - MID, 1/7/2014, 092, 3909, 48665, , , , , ,
TUE - EVE, 1/7/2014, 973, 1634, 64753, , , 11 12 15 17 27 $100000.00, 13 34 56 62 64 +6 x5 $15.00 M/0, ,
WED - MID, 1/8/2014, 977, 7779, 88554, , , , , ,
WED - EVE, 1/8/2014, 186, 7285, 16944, 7 12 16 21 30 34 $56.90 M/0, 807560, 7 10 17 24 29 $110000.00, , 10 28 39 47 58 +22 x-1 $70.00 M/0,
THU - MID, 1/9/2014, 198, 2497, 68643, , , , , ,
THU - EVE, 1/9/2014, 258, 8849, 62536, , , 13 16 24 30 35 $120000.00, , ,
FRI - MID, 1/10/2014, 122, 3000, 99827, , , , , ,
