Day - Draw, Date, Pick 3, Pick 4, Pick 5, Classic Lotto, Kicker, Rolling Cash 5, Mega Millions, Powerball, Lucky For Life
MON - MID, 1/1/2018, 164, 4096, 17591, , , , , ,
MON - EVE, 1/1/2018, 095, 7858, 96082, 13 16 22 28 39 45 $26.20 M/0, 118639, 4 20 26 31 37 $140000.00, , ,15 18 25 31 35 +20
TUE - MID, 1/2/2018, 685, 1625, 29108, , , , , ,
TUE - EVE, 1/2/2018, 292, 4373, 80813, , , 4 7 10 22 35 $150000.00, 1 42 47 64 70 +22 x4 $361.00 M/0, ,
WED - MID, 1/3/2018, 790, 5544, 46136, , , , , ,
WED - EVE, 1/3/2018, 587, 0674, 48538, 1 3 10 31 35 44 $26.30 M/0, 398757, 3 24 32 35 38 $172000.00, , 2 18 37 39 42 +12 x3 $460.00 M/0,
THU - MID, 1/4/2018, 016, 5423, 47620, , , , , ,
THU - EVE, 1/4/2018, 123, 5217, 64043, , , 10 11 16 22 25 $220000.00, , ,11 12 19 28 46 +40
FRI - MID, 1/5/2018, 655, 8339, 24673, , , , , ,
FRI - EVE, 1/5/2018, 999, 9838, 06043, , , 8 11 22 29 34 $100000.00, 28 30 39 59 70 +10 x3 $450.00 M/1, ,
SAT - MID, 1/6/2018, 396, 9074, 77648, , , , , ,
SAT - EVE, 1/6/2018, 952, 6486, 96211, 4 8 32 33 37 48 $26.50 M/0, 999577, 17 18 24 28 33 $100000.00, , 12 29 30 33 61 +26 x3 $570.00 M/1,
SUN - MID, 1/7/2018, 984, 3156, 23455, , , , , ,
SUN - EVE, 1/7/2018, 561, 1909, 06600, , , 12 15 20 21 26 $110000.00, , ,
MON - MID, 1/8/2018, 710, 0282, 72891, , , , , ,
MON - EVE, 1/8/2018, 773, 7120, 57685, 4 10 16 28 39 48 $26.70 M/0, 923453, 11 12 17 19 29 $120000.00, , ,1 3 15 22 28 +150
TUE - MID, 1/9/2018, 971, 2162, 84157, , , , , ,
TUE - EVE, 1/9/2018, 912, 8016, 63412, , , 2 9 19 30 36 $100000.00, 16 29 31 65 67 +23 x3 $40.00 M/0, ,
WED - MID, 1/10/2018, 406, 7682, 47658, , , , , ,
WED - EVE, 1/10/2018, 013, 2075, 92199, 1 8 12 31 36 40 $26.80 M/1, 541900, 8 15 26 32 38 $110000.00, , 7 24 33 49 50 +4 x5 $40.00 M/0,
THU - MID, 1/11/2018, 906, 6285, 42350, , , , , ,
THU - EVE, 1/11/2018, 985, 8424, 43439, , , 4 9 11 38 39 $120000.00, , ,8 12 15 16 41 +90
FRI - MID, 1/12/2018, 742, 1923, 00658, , , , , ,
FRI - EVE, 1/12/2018, 029, 0306, 30246, , , 4 6 12 30 31 $130000.00, 17 18 33 46 60 +24 x4 $45.00 M/0, ,
SAT - MID, 1/13/2018, 057, 0657, 67333, , , , , ,
SAT - EVE, 1/13/2018, 147, 5362, 28824, 5 12 18 24 31 48 $1.00 M/0, 554527, 4 9 12 35 39 $100000.00, , 14 25 35 58 69 +24 x2 $50.00 M/0,
SUN - MID, 1/14/2018, 677, 2272, 26875, , , , , ,
SUN - EVE, 1/14/2018, 479, 8004, 19541, , , 10 11 13 15 20 $110000.00, , ,
MON - MID, 1/15/2018, 372, 9043, 55297, , , , , ,
MON - EVE, 1/15/2018, 672, 5086, 87964, 19 35 36 40 43 48 $1.10 M/0, 837241, 10 23 33 35 38 $120000.00, , ,11 15 32 33 40 +180
TUE - MID, 1/16/2018, 385, 4875, 56801, , , , , ,
TUE - EVE, 1/16/2018, 514, 6967, 19365, , , 4 10 12 18 35 $100000.00, 3 11 23 29 59 +18 x3 $50.00 M/0, ,
WED - MID, 1/17/2018, 581, 8753, 12862, , , , , ,
WED - EVE, 1/17/2018, 975, 7841, 98179, 24 29 38 40 41 48 $1.20 M/0, 089484, 15 21 24 32 33 $110000.00, , 3 33 37 51 57 +21 x2 $62.00 M/0,
THU - MID, 1/18/2018, 799, 3497, 61203, , , , , ,
THU - EVE, 1/18/2018, 224, 7056, 34178, , , 15 16 24 28 37 $100000.00, , ,5 15 21 28 36 +140
FRI - MID, 1/19/2018, 512, 8128, 80602, , , , , ,
FRI - EVE, 1/19/2018, 156, 4481, 27376, , , 13 14 21 23 34 $110000.00, 3 17 23 49 66 +23 x3 $55.00 M/0, ,
SAT - MID, 1/20/2018, 009, 3435, 02096, , , , , ,
SAT - EVE, 1/20/2018, 595, 8029, 19470, 6 15 33 34 43 47 $1.30 M/0, 829955, 1 6 7 15 33 $120000.00, , 26 28 47 49 58 +3 x4 $78.00 M/0,
SUN - MID, 1/21/2018, 609, 3302, 12638, , , , , ,
SUN - EVE, 1/21/2018, 406, 5790, 92711, , , 3 4 15 26 33 $100000.00, , ,
MON - MID, 1/22/2018, 866, 3497, 23226, , , , , ,
MON - EVE, 1/22/2018, 447, 3901, 47841, 2 6 22 25 40 42 $1.40 M/0, 454493, 7 8 14 19 39 $110000.00, , ,5 13 26 30 35 +50
TUE - MID, 1/23/2018, 352, 7353, 43059, , , , , ,
TUE - EVE, 1/23/2018, 015, 9342, 29682, , , 5 16 18 20 21 $120000.00, 2 6 30 31 55 +7 x4 $63.00 M/0, ,
WED - MID, 1/24/2018, 908, 0973, 66497, , , , , ,
WED - EVE, 1/24/2018, 623, 7758, 16109, 2 3 6 13 33 38 $1.50 M/0, 523177, 2 16 26 29 32 $130000.00, , 5 9 11 33 64 +21 x3 $92.00 M/0,
THU - MID, 1/25/2018, 254, 6977, 50541, , , , , ,
THU - EVE, 1/25/2018, 767, 5563, 52665, , , 3 7 12 19 33 $140000.00, , ,8 9 31 43 45 +60
FRI - MID, 1/26/2018, 660, 5126, 54486, , , , , ,
FRI - EVE, 1/26/2018, 997, 0593, 96258, , , 4 21 28 31 36 $150000.00, 10 16 27 38 43 +1 x4 $76.00 M/0, ,
SAT - MID, 1/27/2018, 821, 3354, 46016, , , , , ,
SAT - EVE, 1/27/2018, 563, 7333, 31404, 1 8 14 15 19 34 $1.60 M/0, 953921, 3 4 5 21 31 $172000.00, , 17 21 26 47 54 +7 x2 $112.00 M/0,
SUN - MID, 1/28/2018, 249, 6000, 79043, , , , , ,
SUN - EVE, 1/28/2018, 719, 5940, 86089, , , 9 12 27 29 36 $204000.00, , ,
MON - MID, 1/29/2018, 349, 9606, 44584, , , , , ,
MON - EVE, 1/29/2018, 762, 3757, 33922, 2 7 21 30 35 39 $1.70 M/0, 851529, 3 6 31 34 37 $240000.00, , ,1 4 6 30 33 +20
TUE - MID, 1/30/2018, 035, 8089, 31457, , , , , ,
TUE - EVE, 1/30/2018, 206, 5396, 21239, , , 5 19 24 30 35 $297000.00, 29 41 42 49 57 +24 x3 $89.00 M/0, ,
WED - MID, 1/31/2018, 226, 0722, 97893, , , , , ,
WED - EVE, 1/31/2018, 875, 2412, 21069, 10 21 23 24 35 38 $1.80 M/0, 125310, 7 12 14 18 33 $100000.00, , 4 7 14 46 59 +22 x10 $127.00 M/0,
THU - MID, 2/1/2018, 219, 2894, 67719, , , , , ,
THU - EVE, 2/1/2018, 365, 2375, 47286, , , 10 15 20 23 32 $100000.00, , ,3 13 21 24 47 +100
FRI - MID, 2/2/2018, 746, 1598, 15107, , , , , ,
FRI - EVE, 2/2/2018, 581, 9001, 32095, , , 4 18 22 24 27 $110000.00, 1 4 14 17 40 +4 x3 $104.00 M/0, ,
SAT - MID, 2/3/2018, 947, 1138, 98205, , , , , ,
SAT - EVE, 2/3/2018, 441, 2383, 66294, 13 14 19 20 45 46 $1.90 M/0, 694162, 15 19 21 29 34 $120000.00, , 15 23 27 48 53 +6 x2 $145.00 M/0,
SUN - MID, 2/4/2018, 379, 3263, 46982, , , , , ,
SUN - EVE, 2/4/2018, 065, 5400, 02939, , , 2 19 24 25 37 $130000.00, , ,
MON - MID, 2/5/2018, 338, 1522, 22768, , , , , ,
