Day - Draw, Date, Pick 3, Pick 4, Pick 5, Classic Lotto, Kicker, Rolling Cash 5, Mega Millions, Powerball, Lucky For Life
TUE - MID, 1/1/2019, 444, 4225, 89512, , , , , ,
TUE - EVE, 1/1/2019, 485, 2838, 83630, , , 8 12 14 26 27 $120000.00, 34 44 57 62 70 +14 x4 $425.00 M/1, ,
WED - MID, 1/2/2019, 103, 7637, 93755, , , , , ,
WED - EVE, 1/2/2019, 485, 0497, 55918, 15 21 24 25 30 40 $8.60 M/0, 146233, 10 12 18 21 23 $130000.00, , 8 12 42 46 56 +12 x2 $53.00 M/0,
THU - MID, 1/3/2019, 309, 4961, 99736, , , , , ,
THU - EVE, 1/3/2019, 644, 0787, 69885, , , 5 15 29 33 36 $140000.00, , ,2 4 17 30 31 +150
FRI - MID, 1/4/2019, 178, 7193, 18027, , , , , ,
FRI - EVE, 1/4/2019, 188, 0431, 09400, , , 4 10 19 21 27 $150000.00, 21 29 35 54 60 +15 x4 $40.00 M/0, ,
SAT - MID, 1/5/2019, 922, 5065, 14227, , , , , ,
SAT - EVE, 1/5/2019, 728, 3400, 20552, 7 9 13 20 37 47 $8.70 M/0, 310442, 3 9 18 26 27 $167000.00, , 3 7 15 27 69 +19 x2 $69.00 M/0,
SUN - MID, 1/6/2019, 862, 7551, 86141, , , , , ,
SUN - EVE, 1/6/2019, 916, 3893, 81448, , , 27 28 36 37 38 $193000.00, , ,
MON - MID, 1/7/2019, 952, 4910, 41739, , , , , ,
MON - EVE, 1/7/2019, 312, 2311, 67443, 1 13 16 24 41 48 $8.80 M/0, 698675, 3 14 21 22 24 $241000.00, , ,18 31 34 35 37 +140
TUE - MID, 1/8/2019, 401, 9501, 97480, , , , , ,
TUE - EVE, 1/8/2019, 844, 1375, 26773, , , 4 7 19 34 37 $100000.00, 13 26 29 38 64 +5 x5 $45.00 M/0, ,
WED - MID, 1/9/2019, 064, 2889, 79975, , , , , ,
WED - EVE, 1/9/2019, 451, 4979, 23238, 16 22 30 41 47 48 $8.90 M/0, 758787, 6 13 26 28 33 $110000.00, , 6 19 37 49 59 +22 x3 $82.00 M/0,
THU - MID, 1/10/2019, 048, 8276, 36431, , , , , ,
THU - EVE, 1/10/2019, 094, 1856, 19577, , , 3 6 10 29 33 $120000.00, , ,9 13 21 34 43 +90
FRI - MID, 1/11/2019, 061, 4513, 90797, , , , , ,
FRI - EVE, 1/11/2019, 305, 6717, 15191, , , 1 14 18 22 38 $130000.00, 4 5 31 62 69 +20 x3 $50.00 M/0, ,
SAT - MID, 1/12/2019, 374, 5906, 89686, , , , , ,
SAT - EVE, 1/12/2019, 940, 1759, 54004, 3 10 12 16 24 27 $9.00 M/0, 843233, 4 10 11 12 13 $140000.00, , 7 36 48 57 58 +24 x2 $96.00 M/0,
SUN - MID, 1/13/2019, 827, 6028, 09813, , , , , ,
SUN - EVE, 1/13/2019, 109, 1494, 29604, , , 7 12 18 27 30 $100000.00, , ,
MON - MID, 1/14/2019, 220, 2212, 89858, , , , , ,
