Day - Draw, Date, Pick 3, Pick 4
TUE - EVE, 3/20/2012,467,3387
WED - MID, 3/21/2012,430,3846
WED - EVE, 3/21/2012,28,2723
THU - MID, 3/22/2012,347,4984
THU - EVE, 3/22/2012,463,440
FRI - MID, 3/23/2012,694,4736
FRI - EVE, 3/23/2012,927,1296
SAT - MID, 3/24/2012,317,6594
SAT - EVE, 3/24/2012,142,1431
SUN - MID, 3/25/2012,315,5607
SUN - EVE, 3/25/2012,492,6200
MON - MID, 3/26/2012,71,4336
MON - EVE, 3/26/2012,100,328
TUE - MID, 3/27/2012,437,9530
TUE - EVE, 3/27/2012,446,4072
WED - MID, 3/28/2012,869,9872
WED - EVE, 3/28/2012,856,1998
THU - MID, 3/29/2012,951,1372
THU - EVE, 3/29/2012,883,297
FRI - MID, 3/30/2012,22,2448
FRI - EVE, 3/30/2012,377,2482
SAT - MID, 3/31/2012,669,8657
SAT - EVE, 3/31/2012,730,7029
SUN - MID, 4/1/2012,627,4093
SUN - EVE, 4/1/2012,620,7972
MON - MID, 4/2/2012,664,5272
MON - EVE, 4/2/2012,38,6353
TUE - MID, 4/3/2012,91,5405
TUE - EVE, 4/3/2012,543,1361
WED - MID, 4/4/2012,29,2213
WED - EVE, 4/4/2012,123,3911
THU - MID, 4/5/2012,832,4570
THU - EVE, 4/5/2012,398,8330
FRI - MID, 4/6/2012,929,208
FRI - EVE, 4/6/2012,664,1627
SAT - MID, 4/7/2012,573,7199
SAT - EVE, 4/7/2012,754,3450
SUN - MID, 4/8/2012,735,1810
SUN - EVE, 4/8/2012,940,5435
MON - MID, 4/9/2012,168,2694
MON - EVE, 4/9/2012,157,9170
TUE - MID, 4/10/2012,693,6535
TUE - EVE, 4/10/2012,560,5409
WED - MID, 4/11/2012,305,9432
WED - EVE, 4/11/2012,982,5935
THU - MID, 4/12/2012,166,7835
THU - EVE, 4/12/2012,528,1362
FRI - MID, 4/13/2012,268,9474
FRI - EVE, 4/13/2012,437,822
SAT - MID, 4/14/2012,456,1003
SAT - EVE, 4/14/2012,684,9945
SUN - MID, 4/15/2012,437,8550
SUN - EVE, 4/15/2012,746,2409
MON - MID, 4/16/2012,18,5170
MON - EVE, 4/16/2012,844,5160
TUE - MID, 4/17/2012,776,1511
TUE - EVE, 4/17/2012,354,6482
WED - MID, 4/18/2012,992,2864
WED - EVE, 4/18/2012,975,7023
THU - MID, 4/19/2012,112,7210
THU - EVE, 4/19/2012,998,5686
FRI - MID, 4/20/2012,445,4053
FRI - EVE, 4/20/2012,855,938
SAT - MID, 4/21/2012,4,457
SAT - EVE, 4/21/2012,314,4255
SUN - MID, 4/22/2012,9,3772
SUN - EVE, 4/22/2012,721,1860
MON - MID, 4/23/2012,219,4716
MON - EVE, 4/23/2012,21,8641
TUE - MID, 4/24/2012,707,2946
TUE - EVE, 4/24/2012,612,4860
WED - MID, 4/25/2012,822,5830
WED - EVE, 4/25/2012,76,1063
THU - MID, 4/26/2012,352,6577
THU - EVE, 4/26/2012,215,174
FRI - MID, 4/27/2012,574,3038
FRI - EVE, 4/27/2012,182,4483
SAT - MID, 4/28/2012,390,8885
SAT - EVE, 4/28/2012,277,387
SUN - MID, 4/29/2012,474,5613
SUN - EVE, 4/29/2012,70,7644
MON - MID, 4/30/2012,54,3684
MON - EVE, 4/30/2012,284,4934
TUE - MID, 5/1/2012,499,7407
TUE - EVE, 5/1/2012,837,8232
WED - MID, 5/2/2012,8,8473
WED - EVE, 5/2/2012,160,9704
THU - MID, 5/3/2012,494,248
THU - EVE, 5/3/2012,80,6150
FRI - MID, 5/4/2012,586,9854
FRI - EVE, 5/4/2012,429,606
SAT - MID, 5/5/2012,354,7727
SAT - EVE, 5/5/2012,992,3016
SUN - MID, 5/6/2012,155,2107
SUN - EVE, 5/6/2012,791,1822
MON - MID, 5/7/2012,634,1950
MON - EVE, 5/7/2012,708,9413
TUE - MID, 5/8/2012,229,3023
TUE - EVE, 5/8/2012,911,2708
WED - MID, 5/9/2012,433,3309
WED - EVE, 5/9/2012,115,6620
THU - MID, 5/10/2012,36,4116
THU - EVE, 5/10/2012,31,2219
FRI - MID, 5/11/2012,467,1024
FRI - EVE, 5/11/2012,511,3764
SAT - MID, 5/12/2012,431,112
SAT - EVE, 5/12/2012,493,6788
SUN - MID, 5/13/2012,212,8748
SUN - EVE, 5/13/2012,219,2429
MON - MID, 5/14/2012,255,4462
MON - EVE, 5/14/2012,401,9839
TUE - MID, 5/15/2012,289,3154
TUE - EVE, 5/15/2012,418,3548
WED - MID, 5/16/2012,276,4652
WED - EVE, 5/16/2012,640,304
THU - MID, 5/17/2012,358,4141
THU - EVE, 5/17/2012,713,8147
FRI - MID, 5/18/2012,556,1110
FRI - EVE, 5/18/2012,458,1837
SAT - MID, 5/19/2012,26,8231
SAT - EVE, 5/19/2012,171,5115
SUN - MID, 5/20/2012,262,7896
SUN - EVE, 5/20/2012,281,3544
MON - MID, 5/21/2012,477,7296
MON - EVE, 5/21/2012,808,2487
TUE - MID, 5/22/2012,460,5651
TUE - EVE, 5/22/2012,847,9512
WED - MID, 5/23/2012,465,3967
WED - EVE, 5/23/2012,462,1622
THU - MID, 5/24/2012,124,2625
