Day - Draw, Date, Pick 3, Pick 4
WED - MID, 1/22/2014,331,6677
WED - EVE, 1/22/2014,390,4699
THU - MID, 1/23/2014,670,8519
THU - EVE, 1/23/2014,925,2747
FRI - MID, 1/24/2014,846,8533
FRI - EVE, 1/24/2014,359,5736
SAT - MID, 1/25/2014,889,1470
SAT - EVE, 1/25/2014,326,2658
SUN - MID, 1/26/2014,918,2057
SUN - EVE, 1/26/2014,431,3224
MON - MID, 1/27/2014,464,8840
MON - EVE, 1/27/2014,714,6247
TUE - MID, 1/28/2014,521,4228
TUE - EVE, 1/28/2014,247,9436
WED - MID, 1/29/2014,165,88
WED - EVE, 1/29/2014,154,5736
THU - MID, 1/30/2014,525,2288
THU - EVE, 1/30/2014,342,78
FRI - MID, 1/31/2014,468,1604
FRI - EVE, 1/31/2014,304,2239
SAT - MID, 2/1/2014,703,6097
SAT - EVE, 2/1/2014,372,8421
SUN - MID, 2/2/2014,564,8512
SUN - EVE, 2/2/2014,142,8982
MON - MID, 2/3/2014,862,9810
MON - EVE, 2/3/2014,225,5731
TUE - EVE, 2/4/2014,599,70
TUE - MID, 2/4/2014,704,6020
WED - MID, 2/5/2014,124,129
WED - EVE, 2/5/2014,641,7726
THU - MID, 2/6/2014,521,2131
THU - EVE, 2/6/2014,840,8973
FRI - EVE, 2/7/2014,958,3856
FRI - MID, 2/7/2014,432,1681
SAT - MID, 2/8/2014,344,5929
SAT - EVE, 2/8/2014,323,5595
SUN - MID, 2/9/2014,767,1952
SUN - EVE, 2/9/2014,223,6083
MON - EVE, 2/10/2014,654,7370
MON - MID, 2/10/2014,744,902
TUE - MID, 2/11/2014,396,5741
TUE - EVE, 2/11/2014,656,827
WED - MID, 2/12/2014,568,9626
WED - EVE, 2/12/2014,159,4139
THU - MID, 2/13/2014,626,8670
THU - EVE, 2/13/2014,101,5869
FRI - EVE, 2/14/2014,583,4994
FRI - MID, 2/14/2014,708,8897
SAT - MID, 2/15/2014,343,1006
SAT - EVE, 2/15/2014,585,4926
SUN - MID, 2/16/2014,20,457
SUN - EVE, 2/16/2014,124,5947
MON - EVE, 2/17/2014,344,7984
MON - MID, 2/17/2014,72,1447
TUE - MID, 2/18/2014,849,9075
TUE - EVE, 2/18/2014,496,1304
WED - MID, 2/19/2014,170,7432
WED - EVE, 2/19/2014,828,2995
THU - EVE, 2/20/2014,315,248
THU - MID, 2/20/2014,7,112
FRI - MID, 2/21/2014,917,9494
FRI - EVE, 2/21/2014,809,5669
SAT - MID, 2/22/2014,975,8732
SAT - EVE, 2/22/2014,714,6936
SUN - MID, 2/23/2014,545,919
SUN - EVE, 2/23/2014,0,9206
MON - EVE, 2/24/2014,621,3102
MON - MID, 2/24/2014,557,4995
TUE - MID, 2/25/2014,739,5914
TUE - EVE, 2/25/2014,656,5305
WED - MID, 2/26/2014,473,2890
WED - EVE, 2/26/2014,910,1422
THU - EVE, 2/27/2014,86,7907
THU - MID, 2/27/2014,425,8195
FRI - MID, 2/28/2014,653,6994
FRI - EVE, 2/28/2014,337,4539
SAT - MID, 3/1/2014,309,5632
SAT - EVE, 3/1/2014,787,7707
SUN - EVE, 3/2/2014,68,4318
SUN - MID, 3/2/2014,451,7355
MON - MID, 3/3/2014,672,5056
MON - EVE, 3/3/2014,542,1699
TUE - MID, 3/4/2014,766,837
TUE - EVE, 3/4/2014,853,8976
WED - EVE, 3/5/2014,42,4275
WED - MID, 3/5/2014,7,6725
THU - EVE, 3/6/2014,982,3859
THU - MID, 3/6/2014,214,8185
FRI - MID, 3/7/2014,507,2399
FRI - EVE, 3/7/2014,749,3135
SAT - MID, 3/8/2014,636,2613
SAT - EVE, 3/8/2014,846,8756
SUN - EVE, 3/9/2014,407,5214
SUN - MID, 3/9/2014,774,5003
MON - MID, 3/10/2014,983,6453
MON - EVE, 3/10/2014,668,5337
TUE - MID, 3/11/2014,749,4720
TUE - EVE, 3/11/2014,756,2900
WED - EVE, 3/12/2014,192,9238
WED - MID, 3/12/2014,732,8742
THU - MID, 3/13/2014,486,1521
THU - EVE, 3/13/2014,640,6115
FRI - MID, 3/14/2014,677,6364
FRI - EVE, 3/14/2014,536,5104
SAT - EVE, 3/15/2014,907,9167
SAT - MID, 3/15/2014,666,8704
SUN - EVE, 3/16/2014,896,6802
SUN - MID, 3/16/2014,683,6115
MON - MID, 3/17/2014,228,336
MON - EVE, 3/17/2014,708,3104
TUE - MID, 3/18/2014,705,8510
TUE - EVE, 3/18/2014,903,2255
WED - EVE, 3/19/2014,385,3023
WED - MID, 3/19/2014,579,1415
THU - MID, 3/20/2014,13,1600
THU - EVE, 3/20/2014,570,194
FRI - MID, 3/21/2014,525,6522
FRI - EVE, 3/21/2014,274,3504
SAT - EVE, 3/22/2014,407,8684
SAT - MID, 3/22/2014,674,3675
SUN - MID, 3/23/2014,335,6953
SUN - EVE, 3/23/2014,52,8821
MON - MID, 3/24/2014,96,4989
MON - EVE, 3/24/2014,769,4619
TUE - EVE, 3/25/2014,563,8741
TUE - MID, 3/25/2014,896,3939
WED - EVE, 3/26/2014,875,1771
WED - MID, 3/26/2014,445,3231
THU - MID, 3/27/2014,330,3653
THU - EVE, 3/27/2014,493,4982
FRI - MID, 3/28/2014,722,3657
FRI - EVE, 3/28/2014,763,2072
SAT - EVE, 3/29/2014,539,1402
SAT - MID, 3/29/2014,739,685
SUN - MID, 3/30/2014,877,4648
SUN - EVE, 3/30/2014,976,9897
MON - MID, 3/31/2014,911,1679
MON - EVE, 3/31/2014,331,2222
TUE - EVE, 4/1/2014,10,2426
TUE - MID, 4/1/2014,842,394
WED - MID, 4/2/2014,856,816
WED - EVE, 4/2/2014,293,110
THU - MID, 4/3/2014,17,6001
THU - EVE, 4/3/2014,405,4129
FRI - EVE, 4/4/2014,260,6924
FRI - MID, 4/4/2014,250,4787
SAT - EVE, 4/5/2014,334,2693
SAT - MID, 4/5/2014,40,2241
SUN - MID, 4/6/2014,175,8467
SUN - EVE, 4/6/2014,185,8452
MON - MID, 4/7/2014,802,4045
MON - EVE, 4/7/2014,534,9410
TUE - EVE, 4/8/2014,694,6471
TUE - MID, 4/8/2014,619,4548
WED - MID, 4/9/2014,708,8777
WED - EVE, 4/9/2014,52,9192
THU - MID, 4/10/2014,552,6696
THU - EVE, 4/10/2014,659,2391
FRI - EVE, 4/11/2014,666,311
FRI - MID, 4/11/2014,924,1062
SAT - MID, 4/12/2014,124,853
SAT - EVE, 4/12/2014,619,575
SUN - MID, 4/13/2014,930,7167
SUN - EVE, 4/13/2014,709,5418
MON - EVE, 4/14/2014,343,5243
MON - MID, 4/14/2014,899,1154
TUE - MID, 4/15/2014,362,8674
TUE - EVE, 4/15/2014,368,5125
WED - MID, 4/16/2014,224,3141
WED - EVE, 4/16/2014,217,7850
THU - MID, 4/17/2014,65,3231
THU - EVE, 4/17/2014,143,3978
FRI - EVE, 4/18/2014,951,1840
FRI - MID, 4/18/2014,954,8708
SAT - MID, 4/19/2014,859,6006
SAT - EVE, 4/19/2014,488,2840
SUN - MID, 4/20/2014,975,2674
SUN - EVE, 4/20/2014,684,3823
MON - EVE, 4/21/2014,887,2550
MON - MID, 4/21/2014,305,1982
TUE - MID, 4/22/2014,945,6508
TUE - EVE, 4/22/2014,97,4779
WED - MID, 4/23/2014,373,8720
WED - EVE, 4/23/2014,363,4204
THU - EVE, 4/24/2014,429,9347
THU - MID, 4/24/2014,88,4743
FRI - MID, 4/25/2014,329,4667
FRI - EVE, 4/25/2014,115,4840
SAT - MID, 4/26/2014,66,5323
SAT - EVE, 4/26/2014,277,5702
SUN - MID, 4/27/2014,576,3198
SUN - EVE, 4/27/2014,88,6815
MON - EVE, 4/28/2014,867,2292
MON - MID, 4/28/2014,417,9720
TUE - MID, 4/29/2014,711,3911
TUE - EVE, 4/29/2014,705,6989
WED - MID, 4/30/2014,226,6416
WED - EVE, 4/30/2014,930,4886
THU - EVE, 5/1/2014,501,2208
THU - MID, 5/1/2014,149,5967
FRI - MID, 5/2/2014,520,9985
FRI - EVE, 5/2/2014,881,3738
SAT - MID, 5/3/2014,467,277
SAT - EVE, 5/3/2014,141,2052
SUN - EVE, 5/4/2014,459,4468
SUN - MID, 5/4/2014,961,354
MON - MID, 5/5/2014,710,2369
MON - EVE, 5/5/2014,931,7472
TUE - MID, 5/6/2014,319,8564
TUE - EVE, 5/6/2014,299,8293
WED - MID, 5/7/2014,415,5788
WED - EVE, 5/7/2014,682,9657
THU - EVE, 5/8/2014,672,7342
THU - MID, 5/8/2014,598,7576
FRI - MID, 5/9/2014,463,3640
FRI - EVE, 5/9/2014,22,4542
SAT - MID, 5/10/2014,657,6376
SAT - EVE, 5/10/2014,523,9950
SUN - EVE, 5/11/2014,913,5809
SUN - MID, 5/11/2014,121,8555
MON - MID, 5/12/2014,36,9931
MON - EVE, 5/12/2014,8,5206
TUE - MID, 5/13/2014,537,5835
TUE - EVE, 5/13/2014,47,2859
WED - EVE, 5/14/2014,220,158
WED - MID, 5/14/2014,606,5642
THU - MID, 5/15/2014,727,9457
THU - EVE, 5/15/2014,476,1997
FRI - MID, 5/16/2014,336,4406
FRI - EVE, 5/16/2014,943,4013
SAT - MID, 5/17/2014,112,7325
SAT - EVE, 5/17/2014,550,4577
SUN - EVE, 5/18/2014,837,8556
SUN - MID, 5/18/2014,197,8642
MON - MID, 5/19/2014,739,6556
MON - EVE, 5/19/2014,678,1561
TUE - MID, 5/20/2014,366,209
TUE - EVE, 5/20/2014,292,7883
WED - EVE, 5/21/2014,26,4675
WED - MID, 5/21/2014,655,2692
THU - MID, 5/22/2014,383,4593
THU - EVE, 5/22/2014,474,7164
FRI - MID, 5/23/2014,780,3829
FRI - EVE, 5/23/2014,269,2392
SAT - EVE, 5/24/2014,215,4389
SAT - MID, 5/24/2014,100,4881
SUN - MID, 5/25/2014,515,3856
SUN - EVE, 5/25/2014,397,1916
MON - MID, 5/26/2014,435,4546
MON - EVE, 5/26/2014,769,6245
TUE - EVE, 5/27/2014,863,3266
TUE - MID, 5/27/2014,666,2285
WED - EVE, 5/28/2014,39,6100
WED - MID, 5/28/2014,360,6522
THU - MID, 5/29/2014,318,9895
THU - EVE, 5/29/2014,245,37
FRI - MID, 5/30/2014,583,4610
FRI - EVE, 5/30/2014,306,727
SAT - EVE, 5/31/2014,238,7849
SAT - MID, 5/31/2014,284,6399
SUN - MID, 6/1/2014,994,3908
SUN - EVE, 6/1/2014,245,8725
MON - MID, 6/2/2014,514,8750
MON - EVE, 6/2/2014,184,4158
TUE - EVE, 6/3/2014,292,5263
TUE - MID, 6/3/2014,771,616
WED - MID, 6/4/2014,710,9779
WED - EVE, 6/4/2014,802,7709
THU - MID, 6/5/2014,673,1508
THU - EVE, 6/5/2014,806,2753
FRI - EVE, 6/6/2014,455,3872
FRI - MID, 6/6/2014,890,7446
SAT - EVE, 6/7/2014,686,531
SAT - MID, 6/7/2014,330,955
SUN - MID, 6/8/2014,92,912
SUN - EVE, 6/8/2014,105,5169
MON - MID, 6/9/2014,161,6589
MON - EVE, 6/9/2014,986,9412
TUE - EVE, 6/10/2014,525,146
TUE - MID, 6/10/2014,579,9449
WED - MID, 6/11/2014,821,2623
WED - EVE, 6/11/2014,492,4002
THU - MID, 6/12/2014,552,1704
THU - EVE, 6/12/2014,466,398
FRI - EVE, 6/13/2014,963,5903
FRI - MID, 6/13/2014,234,9659
SAT - MID, 6/14/2014,561,1070
SAT - EVE, 6/14/2014,399,5746
SUN - MID, 6/15/2014,478,6693
SUN - EVE, 6/15/2014,265,7818
MON - EVE, 6/16/2014,912,3820
MON - MID, 6/16/2014,445,7806
TUE - EVE, 6/17/2014,832,1369
TUE - MID, 6/17/2014,389,3650
WED - MID, 6/18/2014,132,4122
WED - EVE, 6/18/2014,45,1076
THU - MID, 6/19/2014,909,9280
THU - EVE, 6/19/2014,441,6648
FRI - EVE, 6/20/2014,715,5899
FRI - MID, 6/20/2014,780,3309
SAT - MID, 6/21/2014,727,5722
SAT - EVE, 6/21/2014,19,3579
SUN - MID, 6/22/2014,881,3544
SUN - EVE, 6/22/2014,234,4877
MON - EVE, 6/23/2014,719,9975
MON - MID, 6/23/2014,431,6587
TUE - MID, 6/24/2014,62,7214
TUE - EVE, 6/24/2014,348,2405
WED - MID, 6/25/2014,919,976
WED - EVE, 6/25/2014,910,4657
THU - EVE, 6/26/2014,52,7255
THU - MID, 6/26/2014,953,9268
FRI - MID, 6/27/2014,708,4961
FRI - EVE, 6/27/2014,464,962
SAT - MID, 6/28/2014,501,6188
SAT - EVE, 6/28/2014,561,9004
SUN - MID, 6/29/2014,288,5626
SUN - EVE, 6/29/2014,537,7428
MON - EVE, 6/30/2014,29,6862
MON - MID, 6/30/2014,998,1971
TUE - MID, 7/1/2014,189,7743
TUE - EVE, 7/1/2014,130,1631
WED - MID, 7/2/2014,505,2276
WED - EVE, 7/2/2014,285,6230
THU - EVE, 7/3/2014,342,4134
THU - MID, 7/3/2014,945,5699
FRI - MID, 7/4/2014,377,3296
FRI - EVE, 7/4/2014,771,5657
SAT - MID, 7/5/2014,921,2263
SAT - EVE, 7/5/2014,482,9728
SUN - EVE, 7/6/2014,891,4722
SUN - MID, 7/6/2014,374,6499
MON - MID, 7/7/2014,499,7936
MON - EVE, 7/7/2014,466,2584
TUE - MID, 7/8/2014,499,8888
TUE - EVE, 7/8/2014,758,7128
WED - MID, 7/9/2014,631,2180
WED - EVE, 7/9/2014,100,3453
THU - EVE, 7/10/2014,645,5073
THU - MID, 7/10/2014,143,626
FRI - MID, 7/11/2014,627,6715
FRI - EVE, 7/11/2014,215,9061
SAT - MID, 7/12/2014,449,5883
SAT - EVE, 7/12/2014,744,6671
SUN - EVE, 7/13/2014,96,4698
SUN - MID, 7/13/2014,270,3329
MON - MID, 7/14/2014,493,9305
MON - EVE, 7/14/2014,151,7877
TUE - MID, 7/15/2014,6,9429
TUE - EVE, 7/15/2014,886,4342
WED - EVE, 7/16/2014,416,5774
WED - MID, 7/16/2014,865,4748
THU - MID, 7/17/2014,337,7858
THU - EVE, 7/17/2014,703,3617
FRI - MID, 7/18/2014,998,273
FRI - EVE, 7/18/2014,976,2939
SAT - MID, 7/19/2014,972,5429
SAT - EVE, 7/19/2014,744,4643
SUN - EVE, 7/20/2014,777,7111
SUN - MID, 7/20/2014,769,1977
MON - MID, 7/21/2014,531,6181
MON - EVE, 7/21/2014,64,381
TUE - MID, 7/22/2014,223,4822
TUE - EVE, 7/22/2014,985,6226
WED - EVE, 7/23/2014,675,830
WED - MID, 7/23/2014,995,4171
THU - MID, 7/24/2014,834,9561
THU - EVE, 7/24/2014,883,6819
FRI - MID, 7/25/2014,61,4441
FRI - EVE, 7/25/2014,530,2459
SAT - EVE, 7/26/2014,689,3556
SAT - MID, 7/26/2014,558,79
SUN - MID, 7/27/2014,401,8907
SUN - EVE, 7/27/2014,814,890
MON - MID, 7/28/2014,534,9074
MON - EVE, 7/28/2014,999,7059
TUE - MID, 7/29/2014,286,2799
TUE - EVE, 7/29/2014,284,9280
WED - EVE, 7/30/2014,885,2655
WED - MID, 7/30/2014,390,723
THU - MID, 7/31/2014,673,1313
THU - EVE, 7/31/2014,679,656
FRI - MID, 8/1/2014,831,1694
FRI - EVE, 8/1/2014,218,2913
SAT - EVE, 8/2/2014,128,7929
SAT - MID, 8/2/2014,214,7364
SUN - MID, 8/3/2014,453,2419
SUN - EVE, 8/3/2014,577,7548
MON - MID, 8/4/2014,846,7761
MON - EVE, 8/4/2014,396,6140
TUE - EVE, 8/5/2014,944,2214
TUE - MID, 8/5/2014,398,8792
WED - MID, 8/6/2014,454,4453
WED - EVE, 8/6/2014,973,2716
THU - MID, 8/7/2014,806,8471
THU - EVE, 8/7/2014,147,7369
FRI - EVE, 8/8/2014,835,4331
FRI - MID, 8/8/2014,93,6655
SAT - EVE, 8/9/2014,43,1368
SAT - MID, 8/9/2014,440,5996
SUN - MID, 8/10/2014,130,3607
SUN - EVE, 8/10/2014,407,749
MON - MID, 8/11/2014,424,2906
MON - EVE, 8/11/2014,249,6102
TUE - EVE, 8/12/2014,782,2695
TUE - MID, 8/12/2014,506,8418
WED - MID, 8/13/2014,569,617
WED - EVE, 8/13/2014,310,8813
THU - MID, 8/14/2014,470,2180
THU - EVE, 8/14/2014,905,6286
FRI - EVE, 8/15/2014,436,2247
FRI - MID, 8/15/2014,332,1926
SAT - MID, 8/16/2014,423,5752
SAT - EVE, 8/16/2014,311,147
SUN - MID, 8/17/2014,171,8993
SUN - EVE, 8/17/2014,394,7425
MON - EVE, 8/18/2014,373,5500
MON - MID, 8/18/2014,135,5820
TUE - EVE, 8/19/2014,583,4703
TUE - MID, 8/19/2014,938,9536
WED - MID, 8/20/2014,325,6942
WED - EVE, 8/20/2014,389,9267
THU - MID, 8/21/2014,84,9717
THU - EVE, 8/21/2014,753,7779
FRI - MID, 8/22/2014,385,3005
FRI - EVE, 8/22/2014,979,5024
SAT - MID, 8/23/2014,833,8250
SAT - EVE, 8/23/2014,265,2053
SUN - EVE, 8/24/2014,921,4866
SUN - MID, 8/24/2014,898,6504
MON - MID, 8/25/2014,362,2299
MON - EVE, 8/25/2014,481,1712
TUE - MID, 8/26/2014,477,9983
TUE - EVE, 8/26/2014,584,6426
WED - MID, 8/27/2014,552,8276
WED - EVE, 8/27/2014,316,2255
THU - MID, 8/28/2014,237,4095
THU - EVE, 8/28/2014,570,7415
FRI - MID, 8/29/2014,626,3759
FRI - EVE, 8/29/2014,833,5782
SAT - MID, 8/30/2014,730,6953
SAT - EVE, 8/30/2014,397,5292
SUN - MID, 8/31/2014,935,8854
SUN - EVE, 8/31/2014,899,6060
MON - MID, 9/1/2014,509,4934
MON - EVE, 9/1/2014,694,6511
TUE - MID, 9/2/2014,478,3512
TUE - EVE, 9/2/2014,821,1258
WED - MID, 9/3/2014,661,4044
WED - EVE, 9/3/2014,158,9831
THU - MID, 9/4/2014,474,3830
THU - EVE, 9/4/2014,743,7513
FRI - MID, 9/5/2014,197,5743
FRI - EVE, 9/5/2014,623,1012
SAT - MID, 9/6/2014,849,8495
SAT - EVE, 9/6/2014,487,6591
SUN - MID, 9/7/2014,721,6928
SUN - EVE, 9/7/2014,27,4777
MON - MID, 9/8/2014,55,6973
MON - EVE, 9/8/2014,941,6659
TUE - MID, 9/9/2014,345,3292
TUE - EVE, 9/9/2014,382,9448
WED - MID, 9/10/2014,487,7793
WED - EVE, 9/10/2014,984,9153
THU - MID, 9/11/2014,787,4252
THU - EVE, 9/11/2014,402,9608
FRI - MID, 9/12/2014,681,2543
FRI - EVE, 9/12/2014,671,4866
SAT - MID, 9/13/2014,45,2582
SAT - EVE, 9/13/2014,966,858
SUN - MID, 9/14/2014,509,5749
SUN - EVE, 9/14/2014,995,4050
MON - MID, 9/15/2014,822,9173
MON - EVE, 9/15/2014,381,7266
TUE - MID, 9/16/2014,25,2395
TUE - EVE, 9/16/2014,920,9668
WED - MID, 9/17/2014,534,2303
WED - EVE, 9/17/2014,71,7777
THU - MID, 9/18/2014,609,2762
THU - EVE, 9/18/2014,411,8989
FRI - MID, 9/19/2014,386,8810
FRI - EVE, 9/19/2014,101,1361
SAT - MID, 9/20/2014,216,9062
SAT - EVE, 9/20/2014,386,6526
SUN - MID, 9/21/2014,626,8709
SUN - EVE, 9/21/2014,529,4567
MON - MID, 9/22/2014,479,4905
MON - EVE, 9/22/2014,134,7804
TUE - MID, 9/23/2014,118,1997
TUE - EVE, 9/23/2014,356,3269
WED - MID, 9/24/2014,698,5743
WED - EVE, 9/24/2014,292,866
THU - MID, 9/25/2014,421,9512
THU - EVE, 9/25/2014,162,6781
FRI - MID, 9/26/2014,424,1606
FRI - EVE, 9/26/2014,729,2385
SAT - MID, 9/27/2014,751,733
SAT - EVE, 9/27/2014,378,9297
SUN - MID, 9/28/2014,323,4873
SUN - EVE, 9/28/2014,63,923
MON - MID, 9/29/2014,639,3860
MON - EVE, 9/29/2014,290,4202
TUE - MID, 9/30/2014,985,4924
TUE - EVE, 9/30/2014,395,1626
WED - MID, 10/1/2014,598,1622
WED - EVE, 10/1/2014,308,3595
THU - MID, 10/2/2014,508,4338
THU - EVE, 10/2/2014,347,5248
FRI - MID, 10/3/2014,281,736
FRI - EVE, 10/3/2014,508,8516
SAT - MID, 10/4/2014,785,5288
SAT - EVE, 10/4/2014,820,7322
SUN - MID, 10/5/2014,527,6732
SUN - EVE, 10/5/2014,832,5732
MON - MID, 10/6/2014,984,6748
MON - EVE, 10/6/2014,750,5345
TUE - MID, 10/7/2014,723,5752
TUE - EVE, 10/7/2014,541,4514
WED - MID, 10/8/2014,906,1667
WED - EVE, 10/8/2014,172,6320
THU - MID, 10/9/2014,454,9907
THU - EVE, 10/9/2014,385,3380
FRI - MID, 10/10/2014,975,1817
FRI - EVE, 10/10/2014,958,9327
SAT - MID, 10/11/2014,928,7041
SAT - EVE, 10/11/2014,792,1070
SUN - MID, 10/12/2014,396,9944
SUN - EVE, 10/12/2014,888,2991
MON - MID, 10/13/2014,202,6559
MON - EVE, 10/13/2014,163,1196
TUE - MID, 10/14/2014,109,1277
TUE - EVE, 10/14/2014,280,242
WED - MID, 10/15/2014,178,4199
WED - EVE, 10/15/2014,412,7777
THU - MID, 10/16/2014,593,9213
THU - EVE, 10/16/2014,853,2632
FRI - MID, 10/17/2014,4,3078
FRI - EVE, 10/17/2014,429,1188
SAT - MID, 10/18/2014,600,2597
SAT - EVE, 10/18/2014,290,3625
SUN - MID, 10/19/2014,621,5911
SUN - EVE, 10/19/2014,33,6851
MON - MID, 10/20/2014,356,9330
MON - EVE, 10/20/2014,971,3091
TUE - MID, 10/21/2014,26,6671
TUE - EVE, 10/21/2014,483,8816
WED - MID, 10/22/2014,653,1206
WED - EVE, 10/22/2014,790,3981
THU - MID, 10/23/2014,946,741
THU - EVE, 10/23/2014,653,10
FRI - MID, 10/24/2014,536,2760
FRI - EVE, 10/24/2014,865,1264
SAT - MID, 10/25/2014,879,4539
SAT - EVE, 10/25/2014,14,8182
SUN - MID, 10/26/2014,43,287
SUN - EVE, 10/26/2014,359,8489
MON - MID, 10/27/2014,158,4987
MON - EVE, 10/27/2014,425,5152
TUE - MID, 10/28/2014,527,4996
TUE - EVE, 10/28/2014,789,687
WED - MID, 10/29/2014,125,1165
WED - EVE, 10/29/2014,310,2673
THU - MID, 10/30/2014,824,1441
THU - EVE, 10/30/2014,207,3460
FRI - MID, 10/31/2014,267,9533
FRI - EVE, 10/31/2014,150,5519
SAT - MID, 11/1/2014,105,3643
SAT - EVE, 11/1/2014,326,3561
SUN - MID, 11/2/2014,74,6984
SUN - EVE, 11/2/2014,650,3179
MON - MID, 11/3/2014,76,2572
MON - EVE, 11/3/2014,549,8042
TUE - MID, 11/4/2014,330,2600
TUE - EVE, 11/4/2014,621,120
WED - MID, 11/5/2014,412,4014
WED - EVE, 11/5/2014,841,3653
THU - MID, 11/6/2014,131,4686
THU - EVE, 11/6/2014,228,7635
FRI - MID, 11/7/2014,307,2979
FRI - EVE, 11/7/2014,887,6504
SAT - MID, 11/8/2014,815,6771
SAT - EVE, 11/8/2014,375,534
SUN - MID, 11/9/2014,93,949
SUN - EVE, 11/9/2014,157,3355
MON - MID, 11/10/2014,996,3679
MON - EVE, 11/10/2014,143,6876
TUE - MID, 11/11/2014,595,3745
TUE - EVE, 11/11/2014,531,6842
WED - MID, 11/12/2014,8,6309
WED - EVE, 11/12/2014,801,8511
THU - MID, 11/13/2014,359,9984
THU - EVE, 11/13/2014,76,6300
FRI - MID, 11/14/2014,166,2960
FRI - EVE, 11/14/2014,86,2610
SAT - MID, 11/15/2014,782,1415
SAT - EVE, 11/15/2014,158,3806
SUN - MID, 11/16/2014,388,3293
SUN - EVE, 11/16/2014,999,3047
MON - MID, 11/17/2014,354,4273
MON - EVE, 11/17/2014,10,7473
TUE - MID, 11/18/2014,988,9980
TUE - EVE, 11/18/2014,643,3736
WED - MID, 11/19/2014,616,6364
WED - EVE, 11/19/2014,399,4593
THU - MID, 11/20/2014,460,1838
THU - EVE, 11/20/2014,805,9883
FRI - MID, 11/21/2014,385,7967
FRI - EVE, 11/21/2014,547,1041
SAT - MID, 11/22/2014,675,2501
SAT - EVE, 11/22/2014,468,913
SUN - MID, 11/23/2014,337,9002
SUN - EVE, 11/23/2014,282,1083
MON - MID, 11/24/2014,96,9531
MON - EVE, 11/24/2014,341,829
TUE - MID, 11/25/2014,498,7319
TUE - EVE, 11/25/2014,650,8997
WED - MID, 11/26/2014,331,4907
WED - EVE, 11/26/2014,887,7491
THU - MID, 11/27/2014,801,1599
THU - EVE, 11/27/2014,779,9450
FRI - MID, 11/28/2014,145,2865
FRI - EVE, 11/28/2014,651,6187
SAT - MID, 11/29/2014,630,6001
SAT - EVE, 11/29/2014,958,4373
SUN - MID, 11/30/2014,740,6788
SUN - EVE, 11/30/2014,89,3934
MON - MID, 12/1/2014,495,8988
MON - EVE, 12/1/2014,427,5261
TUE - MID, 12/2/2014,166,1
TUE - EVE, 12/2/2014,667,7973
WED - MID, 12/3/2014,204,7422
WED - EVE, 12/3/2014,464,7238
THU - MID, 12/4/2014,18,8906
THU - EVE, 12/4/2014,464,203
FRI - MID, 12/5/2014,46,7541
FRI - EVE, 12/5/2014,215,9673
SAT - MID, 12/6/2014,623,1539
SAT - EVE, 12/6/2014,483,1786
SUN - MID, 12/7/2014,515,1563
SUN - EVE, 12/7/2014,764,5192
MON - MID, 12/8/2014,277,3252
MON - EVE, 12/8/2014,842,8236
TUE - MID, 12/9/2014,763,8558
TUE - EVE, 12/9/2014,183,5136
WED - MID, 12/10/2014,226,9947
WED - EVE, 12/10/2014,0,9555
THU - MID, 12/11/2014,277,2723
THU - EVE, 12/11/2014,763,5105
FRI - MID, 12/12/2014,772,8547
FRI - EVE, 12/12/2014,808,9820
SAT - MID, 12/13/2014,662,8395
SAT - EVE, 12/13/2014,617,6659
SUN - MID, 12/14/2014,910,6796
SUN - EVE, 12/14/2014,13,4446
MON - MID, 12/15/2014,851,864
MON - EVE, 12/15/2014,532,2506
TUE - MID, 12/16/2014,457,4004
TUE - EVE, 12/16/2014,455,7770
WED - MID, 12/17/2014,586,7912
WED - EVE, 12/17/2014,45,3867
THU - MID, 12/18/2014,463,9156
THU - EVE, 12/18/2014,56,3030
FRI - MID, 12/19/2014,221,4864
FRI - EVE, 12/19/2014,967,2485
SAT - MID, 12/20/2014,791,3439
SAT - EVE, 12/20/2014,304,4257
SUN - MID, 12/21/2014,741,396
SUN - EVE, 12/21/2014,76,7666
MON - MID, 12/22/2014,965,1619
MON - EVE, 12/22/2014,226,2230
TUE - MID, 12/23/2014,751,275
TUE - EVE, 12/23/2014,298,6769
WED - MID, 12/24/2014,603,7007
WED - EVE, 12/24/2014,679,9601
THU - MID, 12/25/2014,774,1617
THU - EVE, 12/25/2014,466,7933
FRI - MID, 12/26/2014,375,3565
FRI - EVE, 12/26/2014,810,8433
SAT - MID, 12/27/2014,503,4942
SAT - EVE, 12/27/2014,636,6430
SUN - MID, 12/28/2014,479,8802
SUN - EVE, 12/28/2014,374,5614
MON - MID, 12/29/2014,664,9380
MON - EVE, 12/29/2014,196,3754
TUE - MID, 12/30/2014,326,6582
TUE - EVE, 12/30/2014,625,5037
WED - MID, 12/31/2014,614,6956
WED - EVE, 12/31/2014,191,1081
THU - MID, 1/1/2015,560,8479
THU - EVE, 1/1/2015,937,9928
FRI - MID, 1/2/2015,685,2558
FRI - EVE, 1/2/2015,949,4166
SAT - MID, 1/3/2015,722,624
SAT - EVE, 1/3/2015,883,1360
SUN - MID, 1/4/2015,684,6811
SUN - EVE, 1/4/2015,205,9298
MON - MID, 1/5/2015,905,3
MON - EVE, 1/5/2015,850,2264
TUE - MID, 1/6/2015,923,9932
